view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
144,1,1880838722,  上海,2017-05-19 11:34:18,https://weibo.cn/comment/F3OfJpflo,['正常'],https://weibo.cn/u/1880838722
119,1,3247425490,  其他,2017-05-16 18:31:50,https://weibo.cn/comment/F3oHIwwUk,['中'],https://weibo.cn/u/3247425490
122,1,6233842242,  北京,2017-05-19 01:18:31,https://weibo.cn/comment/F3KdMAguA,['正常'],https://weibo.cn/u/6233842242
118,1,6117380234,  广西 梧州,None,nn,['中'],https://weibo.cn/u/6117380234
116,1,5584480562,  上海 普陀区,None,nn,['正常'],https://weibo.cn/u/5584480562
121,1,5316529733,  广东 中山,2017-05-18 11:55:13,https://weibo.cn/comment/F3EXJ7ZHk,['正常'],https://weibo.cn/u/5316529733
126,1,1985824197,  安徽,None,nn,['正常'],https://weibo.cn/u/1985824197
138,1,2866271104,  江西,2017-05-19 11:24:39,https://weibo.cn/comment/F3ObOsUC2,['正常'],https://weibo.cn/u/2866271104
125,1,5807166521,  浙江,2017-05-16 12:52:18,https://weibo.cn/comment/F3mtU6itT,['中'],https://weibo.cn/u/5807166521
114,1,2502556740,  广东,2017-05-18 17:19:36,https://weibo.cn/comment/F3H5oo2aR,['正常'],https://weibo.cn/u/2502556740
119,1,5872115968,  海外,2017-05-20 00:56:13,https://weibo.cn/comment/F3TvehjrC,['正常'],https://weibo.cn/u/5872115968
123,1,3211597950,  澳门 氹仔,2017-05-19 15:36:10,https://weibo.cn/comment/F3PPUeAs8,['正常'],https://weibo.cn/u/3211597950
598,107,1283201960,  江苏,None,nn,['正常'],https://weibo.cn/u/1283201960
115,1,2341533825,  重庆 江北区,None,nn,['中'],https://weibo.cn/u/2341533825
115,1,2382048061,  北京,None,nn,['正常'],https://weibo.cn/u/2382048061
113,2,5864561978,  辽宁 沈阳,2017-05-22 09:47:53,https://weibo.cn/comment/F4fQ1A00k,['中'],https://weibo.cn/u/5864561978
150,1,3907648415,  其他,2017-05-19 12:39:57,https://weibo.cn/comment/F3OGnw32U,['正常'],https://weibo.cn/u/3907648415
113,1,1342096231,  北京,None,nn,['正常'],https://weibo.cn/u/1342096231
137,4,1565193811,  广东,None,nn,['正常'],https://weibo.cn/u/1565193811
114,2,1893502673,  北京,None,nn,['正常'],https://weibo.cn/u/1893502673
