view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
105,1,6020758525,  贵州,2017-04-10 00:53:04,https://weibo.cn/comment/EDLQpuPqE,['中'],https://weibo.cn/u/6020758525
119,4,5546213631,  天津,2017-07-04 11:44:00,https://weibo.cn/comment/FaNYvBWi2,['中'],https://weibo.cn/u/5546213631
113,1,1914422441,  河南 郑州,None,nn,['正常'],https://weibo.cn/u/1914422441
111,1,3544380903,  其他,None,nn,['中'],https://weibo.cn/u/3544380903
116,1,5708711872,  四川,None,nn,['正常'],https://weibo.cn/u/5708711872
177,2,2989569205,  河南,None,nn,['正常'],https://weibo.cn/u/2989569205
146,1,6301418047,  云南 昆明,2017-07-03 10:04:36,https://weibo.cn/comment/FaDTF5cWj,['中'],https://weibo.cn/u/6301418047
109,1,2598850771,  其他,2017-06-28 19:04:44,https://weibo.cn/comment/F9Wiqm0Po,['正常'],https://weibo.cn/u/2598850771
104,1,2978944683,  澳门,2017-06-22 13:23:36,https://weibo.cn/comment/F8ZuYDshl,['正常'],https://weibo.cn/u/2978944683
104,1,6027268448,  上海 金山区,2017-06-27 09:17:27,https://weibo.cn/comment/F9J1ybxYI,['正常'],https://weibo.cn/u/6027268448
166,1,5898024748,  广东 深圳,2017-07-03 23:15:10,https://weibo.cn/comment/FaJ4ze9jC,['中'],https://weibo.cn/u/5898024748
101,1,3970891575,  上海,2017-06-27 15:27:43,https://weibo.cn/comment/F9LrQdtxk,['正常'],https://weibo.cn/u/3970891575
108,1,2985203493,  浙江,2017-06-28 00:22:21,https://weibo.cn/comment/F9OWQyXxi,['正常'],https://weibo.cn/u/2985203493
106,2,5960486324,  陕西 宝鸡,2017-06-22 09:34:49,https://weibo.cn/comment/F8Y07hcH6,['正常'],https://weibo.cn/u/5960486324
133,1,6123898126,  河南 安阳,2017-07-03 17:40:39,https://weibo.cn/comment/FaGSMjEJ3,['中'],https://weibo.cn/u/6123898126
133,1,6034155636,  浙江 杭州,None,nn,['正常'],https://weibo.cn/u/6034155636
102,1,5949665999,  北京 大兴区,2017-06-15 13:01:48,https://weibo.cn/comment/F7VmEx7mZ,['正常'],https://weibo.cn/u/5949665999
106,1,3646737564,  北京,2017-06-29 14:28:12,https://weibo.cn/comment/Fa3UG4l6n,['正常'],https://weibo.cn/u/3646737564
108,1,6166175452,  山西,None,nn,['中'],https://weibo.cn/u/6166175452
273,25,1283431191,  山东,2017-07-03 08:38:09,https://weibo.cn/comment/FaDkzFvQX,['正常'],https://weibo.cn/u/1283431191
