view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
134,6,1548502272,  江苏 苏州,2016-03-17 17:57:35,https://weibo.cn/comment/DmGLqnCVt,['正常'],https://weibo.cn/u/1548502272
119,1,5091622493,  河南 郑州,2016-03-16 13:13:16,https://weibo.cn/comment/Dmvtwvh8T,['正常'],https://weibo.cn/u/5091622493
138,1,1883148122,  广东 深圳,2016-03-17 13:13:49,https://weibo.cn/comment/DmEUfh4Zf,['正常'],https://weibo.cn/u/1883148122
170,1,5348603792,  内蒙古 包头,2016-03-17 13:05:09,https://weibo.cn/comment/DmEQJu60f,['正常'],https://weibo.cn/u/5348603792
118,1,5653972194,  陕西 西安,None,nn,['正常'],https://weibo.cn/u/5653972194
123,1,5333557931,  广东 广州,2016-03-17 11:11:42,https://weibo.cn/comment/DmE6G6g79,['正常'],https://weibo.cn/u/5333557931
125,1,3024742823,  河南 新乡,2016-03-17 12:13:15,https://weibo.cn/comment/DmEvF6Pe1,['正常'],https://weibo.cn/u/3024742823
124,1,5830820197,  其他,None,nn,['中'],https://weibo.cn/u/5830820197
135,1,2095185667,  浙江 宁波,2016-03-14 22:31:05,https://weibo.cn/comment/DmggXll9E,['正常'],https://weibo.cn/u/2095185667
118,1,3202492370,  江西 南昌,2016-03-16 07:58:53,https://weibo.cn/comment/DmtpUEJaK,['正常'],https://weibo.cn/u/3202492370
117,1,5663397169,  其他,2016-03-17 16:54:29,https://weibo.cn/comment/DmGlOovEi,['正常'],https://weibo.cn/u/5663397169
118,1,5138688919,  山西 长治,2016-03-15 12:45:02,https://weibo.cn/comment/DmlRzizFX,['正常'],https://weibo.cn/u/5138688919
122,1,1902977291,  四川 成都,2016-03-17 11:53:19,https://weibo.cn/comment/DmEnzledM,['正常'],https://weibo.cn/u/1902977291
134,3,5062439867,  江苏 徐州,2016-03-17 17:50:28,https://weibo.cn/comment/DmGIxm0hg,['中'],https://weibo.cn/u/5062439867
127,3,3874577859,  浙江 温州,2016-03-18 09:10:55,https://weibo.cn/comment/DmMK9gmUu,['正常'],https://weibo.cn/u/3874577859
118,2,5062782936,  广东 佛山,2016-03-17 20:17:34,https://weibo.cn/comment/DmHGfdHKi,['正常'],https://weibo.cn/u/5062782936
124,1,5316530503,  广西 柳州,2016-03-17 23:16:53,https://weibo.cn/comment/DmIR2hTTB,['正常'],https://weibo.cn/u/5316530503
236,1,5714929979,  上海,None,nn,['中'],https://weibo.cn/u/5714929979
118,3,1776355463,  广东 深圳,2016-03-17 18:38:06,https://weibo.cn/comment/DmH1S6XUT,['正常'],https://weibo.cn/u/1776355463
124,5,5732982243,  陕西 西安,2016-03-17 21:36:00,https://weibo.cn/comment/DmIc59P4Y,['正常'],https://weibo.cn/u/5732982243
