view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
112,1,6215218334,  北京,None,nn,['正常'],https://weibo.cn/u/6215218334
111,1,5812646434,  湖南 邵阳,2017-05-10 17:55:37,https://weibo.cn/comment/F2tU2qt2i,['正常'],https://weibo.cn/u/5812646434
106,1,1749584462,  江苏,2017-05-10 13:24:07,https://weibo.cn/comment/F2s7Q6eWZ,['正常'],https://weibo.cn/u/1749584462
112,1,3035092051,  安徽 合肥,2017-04-07 20:29:37,https://weibo.cn/comment/EDrgubB7V,['正常'],https://weibo.cn/u/3035092051
108,1,3954339857,  浙江,2017-05-07 07:28:42,https://weibo.cn/comment/F1Xw5hCPd,['中'],https://weibo.cn/u/3954339857
113,1,1842605883,  澳门,None,nn,['中'],https://weibo.cn/u/1842605883
108,1,6026310387,  浙江,None,nn,['中'],https://weibo.cn/u/6026310387
116,2,2636686322,  其他,None,nn,['正常'],https://weibo.cn/u/2636686322
112,1,5969476372,  广东,None,nn,['正常'],https://weibo.cn/u/5969476372
125,1,2142161067,  广东,2017-05-10 03:20:45,https://weibo.cn/comment/F2oaVCl6m,['正常'],https://weibo.cn/u/2142161067
155,2,1496975384,  西藏,None,nn,['正常'],https://weibo.cn/u/1496975384
110,1,2441137165,  陕西,None,nn,['正常'],https://weibo.cn/u/2441137165
111,4,1888415301,  江苏,None,nn,['正常'],https://weibo.cn/u/1888415301
109,1,1796509274,  广东,2017-03-29 19:37:17,https://weibo.cn/comment/EC44M4pgq,['正常'],https://weibo.cn/u/1796509274
109,1,2334537271,  北京,None,nn,['正常'],https://weibo.cn/u/2334537271
107,1,2198065337,  江苏 南通,None,nn,['正常'],https://weibo.cn/u/2198065337
108,1,3948211229,  其他,2017-05-11 22:59:19,https://weibo.cn/comment/F2FjObSks,['正常'],https://weibo.cn/u/3948211229
137,1,5272618927,  山东,None,nn,['正常'],https://weibo.cn/u/5272618927
149,2,3160200203,  陕西,None,nn,['正常'],https://weibo.cn/u/3160200203
121,1,3272802533,  北京,None,nn,['正常'],https://weibo.cn/u/3272802533
