view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
116,1,2179970857,  北京 朝阳区,None,nn,['正常'],https://weibo.cn/u/2179970857
116,1,3257240835,  四川 成都,2016-06-13 09:42:48,https://weibo.cn/comment/DA18i6k1K,['正常'],https://weibo.cn/u/3257240835
125,2,5323908867,  重庆 江北区,2016-06-12 23:05:04,https://weibo.cn/comment/DzWXr4LU0,['正常'],https://weibo.cn/u/5323908867
148,1,3798074170,  广东,2016-06-13 00:08:51,https://weibo.cn/comment/DzXnkbAmW,['正常'],https://weibo.cn/u/3798074170
113,1,3197653053,  湖北 武汉,2016-06-12 20:27:37,https://weibo.cn/comment/DzVVwuzto,['正常'],https://weibo.cn/u/3197653053
114,1,2705447542,  北京 海淀区,None,nn,['正常'],https://weibo.cn/u/2705447542
192,1,5730381869,  北京 朝阳区,2016-06-12 21:59:20,https://weibo.cn/comment/DzWwKBtfA,['正常'],https://weibo.cn/u/5730381869
117,1,2408537925,  广东 广州,2016-06-12 17:31:54,https://weibo.cn/comment/DzUMcpXsh,['正常'],https://weibo.cn/u/2408537925
109,1,5847618006,  安徽,2016-06-04 12:12:18,https://weibo.cn/comment/DyFgvdObc,['正常'],https://weibo.cn/u/5847618006
157,1,5471287152,  陕西 渭南,2016-06-12 22:28:13,https://weibo.cn/comment/DzWIu4F1h,['中'],https://weibo.cn/u/5471287152
121,1,1753017913,  山东,2016-06-13 10:14:29,https://weibo.cn/comment/DA1l90BBw,['中'],https://weibo.cn/u/1753017913
111,1,5870149957,  江苏,2016-06-08 17:44:32,https://weibo.cn/comment/Dzj9lkvYt,['正常'],https://weibo.cn/u/5870149957
113,1,2002733490,  上海 浦东新区,None,nn,['正常'],https://weibo.cn/u/2002733490
118,1,2940626361,  广东 佛山,2016-06-13 09:46:47,https://weibo.cn/comment/DA19Uyxfr,['正常'],https://weibo.cn/u/2940626361
128,2,5752902017,  四川 凉山,2016-06-07 15:07:05,https://weibo.cn/comment/Dz8GWsGtW,['正常'],https://weibo.cn/u/5752902017
124,1,5760126896,  福建,None,nn,['正常'],https://weibo.cn/u/5760126896
115,1,1785370544,  山东 青岛,2016-06-13 14:22:26,https://weibo.cn/comment/DA2XNtSPP,['正常'],https://weibo.cn/u/1785370544
121,1,1528268017,  北京 朝阳区,2016-06-13 16:56:47,https://weibo.cn/comment/DA3YrrdrC,['正常'],https://weibo.cn/u/1528268017
115,1,3176374487,  江苏 南京,2016-06-13 12:14:48,https://weibo.cn/comment/DA27ZeWib,['正常'],https://weibo.cn/u/3176374487
393,1,2458565150,  北京 东城区,2016-06-13 15:02:58,https://weibo.cn/comment/DA3efzukY,['正常'],https://weibo.cn/u/2458565150
