view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
92,1,1742816260,  北京,2017-03-08 14:22:08,https://weibo.cn/comment/EyQ2qqWQP,['正常'],https://weibo.cn/u/1742816260
93,1,6001062019,  内蒙古,2017-03-13 13:44:02,https://weibo.cn/comment/EzAVruz30,['正常'],https://weibo.cn/u/6001062019
92,1,1728112623,  山西,2017-03-13 16:35:34,https://weibo.cn/comment/EzC34lyV7,['中'],https://weibo.cn/u/1728112623
98,1,3736332915,  四川 泸州,None,nn,['中'],https://weibo.cn/u/3736332915
96,1,1995249945,  北京,2017-03-13 11:32:57,https://weibo.cn/comment/EzA4eicv3,['中'],https://weibo.cn/u/1995249945
101,1,3929161373,  河北 唐山,None,nn,['中'],https://weibo.cn/u/3929161373
102,1,2741057520,  陕西 汉中,None,nn,['正常'],https://weibo.cn/u/2741057520
102,1,3849494453,  江西,None,nn,['正常'],https://weibo.cn/u/3849494453
138,1,6042002604,  海外 美国,None,nn,['正常'],https://weibo.cn/u/6042002604
95,1,2678457680,  其他,2017-03-14 17:16:40,https://weibo.cn/comment/EzLKfom7S,['正常'],https://weibo.cn/u/2678457680
94,1,5359952342,  其他,None,nn,['正常'],https://weibo.cn/u/5359952342
94,1,5322503272,  陕西,None,nn,['正常'],https://weibo.cn/u/5322503272
145,2,2042154805,  广东,2017-03-14 18:29:55,https://weibo.cn/comment/EzMdZ0UyM,['正常'],https://weibo.cn/u/2042154805
92,1,5602685415,  四川,None,nn,['正常'],https://weibo.cn/u/5602685415
101,1,5750677256,  其他,None,nn,['正常'],https://weibo.cn/u/5750677256
96,1,6022613046,  陕西,None,nn,['正常'],https://weibo.cn/u/6022613046
93,1,6174290531,  四川 宜宾,2017-03-12 22:29:27,https://weibo.cn/comment/EzuWdjpWi,['中'],https://weibo.cn/u/6174290531
98,1,1637716480,  山东 东营,None,nn,['正常'],https://weibo.cn/u/1637716480
133,1,2376810250,  甘肃,2017-03-14 17:47:57,https://weibo.cn/comment/EzLWWzCHk,['正常'],https://weibo.cn/u/2376810250
102,3,1111328783,  北京,2017-02-22 17:32:06,https://weibo.cn/comment/EwJiA8xGf,['正常'],https://weibo.cn/u/1111328783
