view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
137,2,2118199994,  上海,2017-05-19 16:54:56,https://weibo.cn/comment/F3QlSoGSR,['正常'],https://weibo.cn/u/2118199994
123,1,6142595316,  四川,None,nn,['中'],https://weibo.cn/u/6142595316
119,1,5672539810,  云南,2017-06-10 19:27:30,https://weibo.cn/comment/F7cKJgiwD,['中'],https://weibo.cn/u/5672539810
153,2,2989580831,  北京 东城区,2017-06-12 12:34:08,https://weibo.cn/comment/F7sTVv5ek,['正常'],https://weibo.cn/u/2989580831
126,1,5433414817,  河北,2017-06-13 23:45:15,https://weibo.cn/comment/F7GIQ8p3W,['正常'],https://weibo.cn/u/5433414817
125,1,1720674135,  黑龙江,2017-06-14 15:53:52,https://weibo.cn/comment/F7N409tSe,['正常'],https://weibo.cn/u/1720674135
122,3,6132468356,  陕西,None,nn,['正常'],https://weibo.cn/u/6132468356
134,1,1758168181,  山东,2017-05-18 20:21:09,https://weibo.cn/comment/F3Ih5gRzc,['正常'],https://weibo.cn/u/1758168181
115,1,6134337778,  青海,None,nn,['正常'],https://weibo.cn/u/6134337778
126,1,5995000566,  其他,2017-06-14 21:41:23,https://weibo.cn/comment/F7Pl3xqxB,['正常'],https://weibo.cn/u/5995000566
144,1,2857902254,  广东,None,nn,['中'],https://weibo.cn/u/2857902254
591,7,1825569973,  北京 东城区,None,nn,['正常'],https://weibo.cn/u/1825569973
282,1,5951221427,  上海,None,nn,['正常'],https://weibo.cn/u/5951221427
131,1,3216195451,  山西 太原,2017-06-15 00:59:40,https://weibo.cn/comment/F7QDxbKKi,['正常'],https://weibo.cn/u/3216195451
127,1,1945764972,  广西 南宁,None,nn,['正常'],https://weibo.cn/u/1945764972
112,1,3929361238,  其他,None,nn,['正常'],https://weibo.cn/u/3929361238
123,1,2285386644,  海外 加拿大,2017-06-14 11:13:03,https://weibo.cn/comment/F7Le1aOOS,['正常'],https://weibo.cn/u/2285386644
124,2,2603819637,  海外,2017-06-14 16:26:21,https://weibo.cn/comment/F7Nhbss1g,['正常'],https://weibo.cn/u/2603819637
518,182,2118199994,  上海,2017-06-13 23:03:25,https://weibo.cn/comment/F7GrRhJlw,['正常'],https://weibo.cn/u/2118199994
118,2,3941710063,  湖北 武汉,None,nn,['正常'],https://weibo.cn/u/3941710063
