view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
106,1,1761219057,  山东 枣庄,2017-03-29 19:56:30,https://weibo.cn/comment/EC4czbqlz,['正常'],https://weibo.cn/u/1761219057
98,2,5311549213,  河南 郑州,None,nn,['正常'],https://weibo.cn/u/5311549213
103,5,2566343317,  浙江,2017-03-30 10:25:59,https://weibo.cn/comment/EC9TvhXOU,['正常'],https://weibo.cn/u/2566343317
487,62,5657653070,  北京,2017-03-30 10:42:13,https://weibo.cn/comment/ECa05nIuP,['正常'],https://weibo.cn/u/5657653070
114,1,2034809314,  上海 黄浦区,None,nn,['正常'],https://weibo.cn/u/2034809314
100,1,1844775642,  广东,2017-03-30 09:10:40,https://weibo.cn/comment/EC9oVoEoM,['正常'],https://weibo.cn/u/1844775642
123,2,5711070913,  海外,2017-03-29 14:49:53,https://weibo.cn/comment/EC2c7hFcO,['中'],https://weibo.cn/u/5711070913
97,2,6065395151,  陕西,None,nn,['正常'],https://weibo.cn/u/6065395151
155,1,2286710885,  新疆,2017-03-30 00:31:13,https://weibo.cn/comment/EC6058pus,['正常'],https://weibo.cn/u/2286710885
98,1,3672035922,  其他,None,nn,['正常'],https://weibo.cn/u/3672035922
98,1,5516797695,  河南,None,nn,['正常'],https://weibo.cn/u/5516797695
124,1,6016493492,  陕西,None,nn,['正常'],https://weibo.cn/u/6016493492
134,29,5212268104,  海外,None,nn,['中'],https://weibo.cn/u/5212268104
95,1,1736878243,  江苏,2017-03-30 08:22:37,https://weibo.cn/comment/EC95qgZQD,['正常'],https://weibo.cn/u/1736878243
96,1,2938614153,  其他,2017-03-19 23:10:42,https://weibo.cn/comment/EAzcr5F1C,['中'],https://weibo.cn/u/2938614153
92,2,2434910672,  江苏,2017-03-30 16:24:09,https://weibo.cn/comment/ECceSoICl,['中'],https://weibo.cn/u/2434910672
105,1,1975891090,  香港 其他,None,nn,['正常'],https://weibo.cn/u/1975891090
100,1,5629181829,  陕西 西安,None,nn,['正常'],https://weibo.cn/u/5629181829
106,1,5629181829,  陕西 西安,None,nn,['正常'],https://weibo.cn/u/5629181829
95,1,5987932575,  辽宁,2017-03-30 20:18:37,https://weibo.cn/comment/ECdM33QJR,['正常'],https://weibo.cn/u/5987932575
