view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
107,1,5626531747,  重庆 江北区,2017-02-25 08:43:31,https://weibo.cn/comment/Ex87wgSRy,['中'],https://weibo.cn/u/5626531747
100,2,6087243992,  吉林,2017-02-18 17:30:08,https://weibo.cn/comment/Ew7zNoGsY,['正常'],https://weibo.cn/u/6087243992
173,1,2107807023,  广东,2017-02-18 11:19:06,https://weibo.cn/comment/Ew59cvjei,['中'],https://weibo.cn/u/2107807023
99,1,6144686978,  山西 晋中,2017-02-25 16:07:15,https://weibo.cn/comment/Exb1DcUtF,['中'],https://weibo.cn/u/6144686978
109,1,5026617194,  重庆,2017-02-25 08:25:44,https://weibo.cn/comment/Ex80izDxJ,['正常'],https://weibo.cn/u/5026617194
114,6,5856834711,  其他,None,nn,['正常'],https://weibo.cn/u/5856834711
139,2,2030621831,  重庆,None,nn,['正常'],https://weibo.cn/u/2030621831
105,1,6092418536,  新疆 吐鲁番,2017-02-25 11:34:26,https://weibo.cn/comment/Ex9eTqNOA,['正常'],https://weibo.cn/u/6092418536
107,15,1916628915,  吉林 长春,None,nn,['正常'],https://weibo.cn/u/1916628915
102,1,3395996490,  其他,None,nn,['正常'],https://weibo.cn/u/3395996490
102,3,5391911721,  黑龙江 绥化,2017-02-25 18:34:26,https://weibo.cn/comment/ExbZncuMJ,['正常'],https://weibo.cn/u/5391911721
102,1,6056291053,  重庆,None,nn,['中'],https://weibo.cn/u/6056291053
147,1,5284398811,  河南 郑州,2017-02-26 10:42:30,https://weibo.cn/comment/ExikjjLPo,['中'],https://weibo.cn/u/5284398811
110,1,5748171853,  山东 济宁,2017-02-22 21:45:41,https://weibo.cn/comment/EwKXvCQXT,['中'],https://weibo.cn/u/5748171853
111,2,3227143454,  北京 大兴区,None,nn,['正常'],https://weibo.cn/u/3227143454
118,1,3536758782,  山东 东营,2017-02-08 14:07:30,https://weibo.cn/comment/EuzYAeJ4e,['正常'],https://weibo.cn/u/3536758782
167,2,1561015262,  广东,2017-02-25 14:08:50,https://weibo.cn/comment/ExafzcSls,['中'],https://weibo.cn/u/1561015262
101,1,5932394974,  山东 枣庄,2017-02-25 12:58:54,https://weibo.cn/comment/Ex9NbwG0i,['正常'],https://weibo.cn/u/5932394974
137,3,6107598009,  江西 宜春,None,nn,['正常'],https://weibo.cn/u/6107598009
132,1,2662805202,  海外 法国,None,nn,['正常'],https://weibo.cn/u/2662805202
