view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
159,1,5717001611,  北京,2016-09-17 01:56:33,https://weibo.cn/comment/E8BEo1EML,['正常'],https://weibo.cn/u/5717001611
112,1,2093068955,  辽宁 大连,2016-09-17 04:40:39,https://weibo.cn/comment/E8CIZeGSX,['正常'],https://weibo.cn/u/2093068955
117,1,5049707297,  北京 东城区,None,nn,['正常'],https://weibo.cn/u/5049707297
113,1,5509750046,  安徽 淮北,2016-09-16 23:39:13,https://weibo.cn/comment/E8AKDDvCy,['正常'],https://weibo.cn/u/5509750046
113,13,1215209095,  北京 朝阳区,2016-09-16 22:41:31,https://weibo.cn/comment/E8AneeGIg,['正常'],https://weibo.cn/u/1215209095
1136,2,5512476593,  海外,None,nn,['正常'],https://weibo.cn/u/5512476593
144,567,5904305713,  海外,None,nn,['正常'],https://weibo.cn/u/5904305713
122,1,1645060397,  浙江 金华,2016-09-17 00:12:33,https://weibo.cn/comment/E8AYayTCb,['正常'],https://weibo.cn/u/1645060397
109,1,1575275582,  辽宁 大连,2016-09-16 23:34:23,https://weibo.cn/comment/E8AIGfg67,['正常'],https://weibo.cn/u/1575275582
381,4,5059588128,  海外,2016-09-16 22:03:26,https://weibo.cn/comment/E8A7Lnhd1,['正常'],https://weibo.cn/u/5059588128
114,3,3874486420,  上海 奉贤区,2016-09-16 22:45:59,https://weibo.cn/comment/E8Ap2g0VN,['正常'],https://weibo.cn/u/3874486420
152,1,5715768768,  河南,None,nn,['正常'],https://weibo.cn/u/5715768768
149,5,3186487114,  上海,2016-09-16 22:42:27,https://weibo.cn/comment/E8AnBhFQl,['正常'],https://weibo.cn/u/3186487114
117,1,1590872513,  北京 石景山区,None,nn,['正常'],https://weibo.cn/u/1590872513
121,2,1958856285,  上海 黄浦区,2016-09-17 00:24:47,https://weibo.cn/comment/E8B38uik4,['正常'],https://weibo.cn/u/1958856285
196,3,3304310703,  四川,2016-09-17 00:05:19,https://weibo.cn/comment/E8AVeyCWr,['正常'],https://weibo.cn/u/3304310703
140,8,3077136737,  上海 宝山区,None,nn,['正常'],https://weibo.cn/u/3077136737
996,2,2217389255,  河南 郑州,None,nn,['正常'],https://weibo.cn/u/2217389255
137,1,5488267128,  重庆,None,nn,['正常'],https://weibo.cn/u/5488267128
7616,1,5097851563,  湖北,2016-09-16 23:25:01,https://weibo.cn/comment/E8AES6sJP,['中'],https://weibo.cn/u/5097851563
