view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
121,1,5939967421,  北京,None,nn,['正常'],https://weibo.cn/u/5939967421
131,1,5772117497,  广东 东莞,None,nn,['正常'],https://weibo.cn/u/5772117497
108,1,5206087410,  云南 玉溪,2016-10-21 08:28:39,https://weibo.cn/comment/EdOKqgeRL,['正常'],https://weibo.cn/u/5206087410
106,1,5916799664,  云南,2016-10-20 23:33:32,https://weibo.cn/comment/EdLfdvzvJ,['正常'],https://weibo.cn/u/5916799664
127,3,5455219616,  广西 贵港,2016-10-20 11:27:45,https://weibo.cn/comment/EdGuD71Mr,['正常'],https://weibo.cn/u/5455219616
114,2,6047044028,  四川 遂宁,2016-10-20 21:34:26,https://weibo.cn/comment/EdKsSC0Nu,['正常'],https://weibo.cn/u/6047044028
156,1,1867143567,  北京 东城区,2016-10-20 13:34:45,https://weibo.cn/comment/EdHkayXRF,['正常'],https://weibo.cn/u/1867143567
105,1,5978120614,  上海 宝山区,2016-09-21 22:39:28,https://weibo.cn/comment/E9luSd4sR,['正常'],https://weibo.cn/u/5978120614
130,6,3108191105,  香港 葵青区,2016-10-20 08:48:29,https://weibo.cn/comment/EdFrZ3BFz,['正常'],https://weibo.cn/u/3108191105
276,2,3247650602,  福建 厦门,2016-10-20 19:00:38,https://weibo.cn/comment/EdJsrEHaZ,['正常'],https://weibo.cn/u/3247650602
109,1,5945663953,  云南,None,nn,['正常'],https://weibo.cn/u/5945663953
132,1,3480728781,  广东 广州,2016-10-19 16:49:57,https://weibo.cn/comment/EdzaUjwhC,['中'],https://weibo.cn/u/3480728781
236,1,5631445584,  四川 南充,2016-10-21 10:59:02,https://weibo.cn/comment/EdPJsB5z0,['正常'],https://weibo.cn/u/5631445584
106,1,1417789792,  安徽 合肥,2016-10-21 13:13:51,https://weibo.cn/comment/EdQCbsY1g,['正常'],https://weibo.cn/u/1417789792
106,1,6045734429,  云南 怒江,2016-10-21 14:07:48,https://weibo.cn/comment/EdQY5w6hY,['正常'],https://weibo.cn/u/6045734429
121,1,5282255840,  江苏 泰州,2016-10-22 08:19:35,https://weibo.cn/comment/EdY7eDGkL,['正常'],https://weibo.cn/u/5282255840
114,1,5206087410,  云南 玉溪,2016-10-21 08:27:25,https://weibo.cn/comment/EdOJVfmJ7,['正常'],https://weibo.cn/u/5206087410
117,1,2485425080,  陕西,2016-09-22 15:52:16,https://weibo.cn/comment/E9sg5kkqt,['正常'],https://weibo.cn/u/2485425080
139,2,5071326516,  其他,2016-09-22 20:46:18,https://weibo.cn/comment/E9ubr4tfu,['正常'],https://weibo.cn/u/5071326516
132,3,1879339271,  辽宁 大连,None,nn,['正常'],https://weibo.cn/u/1879339271
