view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
122,1,5719744299,  安徽 合肥,None,nn,['正常'],https://weibo.cn/u/5719744299
209,1,3918755279,  其他,None,nn,['中'],https://weibo.cn/u/3918755279
111,1,5868330622,  其他,2017-04-03 12:43:10,https://weibo.cn/comment/ECMvamxEk,['中'],https://weibo.cn/u/5868330622
117,2,2416964927,  甘肃,None,nn,['正常'],https://weibo.cn/u/2416964927
184,9,1615913053,  四川,2017-04-17 10:46:30,https://weibo.cn/comment/EETILiwdo,['中'],https://weibo.cn/u/1615913053
104,1,3269886993,  上海,None,nn,['中'],https://weibo.cn/u/3269886993
115,1,6031973561,  广东,2017-04-16 22:04:29,https://weibo.cn/comment/EEOJsssgf,['正常'],https://weibo.cn/u/6031973561
97,1,2103944170,  广东,2017-02-28 23:33:46,https://weibo.cn/comment/ExGemoT74,['正常'],https://weibo.cn/u/2103944170
115,1,1713265194,  北京,2017-04-15 22:09:44,https://weibo.cn/comment/EEFl646LQ,['正常'],https://weibo.cn/u/1713265194
100,2,6074016657,  福建 泉州,None,nn,['正常'],https://weibo.cn/u/6074016657
99,1,1850550517,  广东,2017-03-10 11:07:56,https://weibo.cn/comment/Ez7CAEINm,['中'],https://weibo.cn/u/1850550517
100,1,2611975251,  浙江,2017-03-05 10:50:34,https://weibo.cn/comment/Eymn4j5V8,['中'],https://weibo.cn/u/2611975251
110,1,6010838135,  江苏,2017-03-19 08:49:38,https://weibo.cn/comment/EAtyVsfMp,['中'],https://weibo.cn/u/6010838135
109,1,6079175223,  河南,2017-03-15 13:37:19,https://weibo.cn/comment/EzTJIbYQ1,['正常'],https://weibo.cn/u/6079175223
166,1,2651781773,  广东,2017-04-13 00:25:13,https://weibo.cn/comment/EEdWBsZF1,['正常'],https://weibo.cn/u/2651781773
113,1,6047838538,  河南,2017-04-18 12:30:31,https://weibo.cn/comment/EF3Pt1GzG,['正常'],https://weibo.cn/u/6047838538
131,1,5810931854,  安徽,2017-04-19 12:54:19,https://weibo.cn/comment/EFdpDqjjL,['正常'],https://weibo.cn/u/5810931854
101,1,1105057212,  广东,2017-04-08 12:39:59,https://weibo.cn/comment/EDxCmbduC,['正常'],https://weibo.cn/u/1105057212
98,1,2575691433,  河北,2017-03-17 15:56:38,https://weibo.cn/comment/EAdvfxBDN,['中'],https://weibo.cn/u/2575691433
124,1,1362881334,  其他,2017-03-07 17:04:30,https://weibo.cn/comment/EyHFPCLJT,['中'],https://weibo.cn/u/1362881334
