view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
116,1,1662350927,  海外 美国,None,nn,['正常'],https://weibo.cn/u/1662350927
101,4,3971044969,  新疆,None,nn,['正常'],https://weibo.cn/u/3971044969
103,1,6080119827,  天津,None,nn,['正常'],https://weibo.cn/u/6080119827
94,1,6020617083,  四川 宜宾,None,nn,['正常'],https://weibo.cn/u/6020617083
220,2,2726529161,  北京,2018-01-04 23:22:10,https://weibo.cn/comment/FCRbgmtZo,['中'],https://weibo.cn/u/2726529161
97,1,6019719313,  浙江,None,nn,['正常'],https://weibo.cn/u/6019719313
95,1,6320247070,  重庆,None,nn,['正常'],https://weibo.cn/u/6320247070
94,1,5023318300,  广东 汕头,None,nn,['正常'],https://weibo.cn/u/5023318300
96,1,6023620194,  重庆,None,nn,['正常'],https://weibo.cn/u/6023620194
102,1,5780946980,  山东,None,nn,['正常'],https://weibo.cn/u/5780946980
99,1,2885788485,  辽宁,None,nn,['正常'],https://weibo.cn/u/2885788485
96,1,3144241814,  广东,None,nn,['正常'],https://weibo.cn/u/3144241814
146,2,5953033621,  海外,2017-12-12 09:50:38,https://weibo.cn/comment/Fzh2rl1jC,['正常'],https://weibo.cn/u/5953033621
204,1,3157410975,  山东,2018-01-07 07:32:11,https://weibo.cn/comment/FDdf9vRdn,['正常'],https://weibo.cn/u/3157410975
102,1,2877363187,  青海,None,nn,['正常'],https://weibo.cn/u/2877363187
122,1,2604579463,  北京 丰台区,None,nn,['正常'],https://weibo.cn/u/2604579463
113,2,5352194011,  江苏,None,nn,['正常'],https://weibo.cn/u/5352194011
114,2,1994218943,  山东,2018-01-08 02:08:06,https://weibo.cn/comment/FDky6tG3h,['正常'],https://weibo.cn/u/1994218943
103,4,3966657980,  山东 威海,None,nn,['正常'],https://weibo.cn/u/3966657980
116,3,2879502723,  广东,None,nn,['中'],https://weibo.cn/u/2879502723
