view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path
363,1,2140227493,  广东,2017-05-23 19:31:05,https://weibo.cn/comment/F4t5fhCbF,['正常'],https://weibo.cn/u/2140227493
107,1,5532902164,  江苏 南京,2017-05-25 08:06:38,https://weibo.cn/comment/F4Hsq7yyW,['正常'],https://weibo.cn/u/5532902164
123,8,1708812217,  上海,None,nn,['正常'],https://weibo.cn/u/1708812217
111,1,6094180871,  四川,2017-04-28 10:03:44,https://weibo.cn/comment/F0BGxzfcf,['正常'],https://weibo.cn/u/6094180871
126,1,1691186155,  贵州 贵阳,2017-05-20 20:20:43,https://weibo.cn/comment/F417U5anz,['正常'],https://weibo.cn/u/1691186155
1135,1,6142595316,  四川,None,nn,['中'],https://weibo.cn/u/6142595316
114,1,3257756351,  广东,2017-05-24 23:43:33,https://weibo.cn/comment/F4Eadsse2,['正常'],https://weibo.cn/u/3257756351
110,3,3125235671,  广东,2017-05-25 05:56:09,https://weibo.cn/comment/F4GBsjxTS,['中'],https://weibo.cn/u/3125235671
134,3,1689573745,  浙江,None,nn,['正常'],https://weibo.cn/u/1689573745
107,1,5689341654,  内蒙古,2017-05-24 21:40:35,https://weibo.cn/comment/F4DmjouhI,['正常'],https://weibo.cn/u/5689341654
107,1,1261633744,  其他,2017-05-25 11:07:25,https://weibo.cn/comment/F4IDNvwZZ,['中'],https://weibo.cn/u/1261633744
107,1,2238743830,  广东,2017-05-25 14:55:40,https://weibo.cn/comment/F4K8rxd9W,['中'],https://weibo.cn/u/2238743830
110,1,5082037605,  浙江,None,nn,['中'],https://weibo.cn/u/5082037605
121,1,2483342531,  广东,2017-05-24 20:21:15,https://weibo.cn/comment/F4CQ6rSvc,['正常'],https://weibo.cn/u/2483342531
112,1,2852534327,  上海,None,nn,['正常'],https://weibo.cn/u/2852534327
112,1,6153325389,  贵州,None,nn,['中'],https://weibo.cn/u/6153325389
227,1,2135025103,  福建,2017-05-24 19:44:31,https://weibo.cn/comment/F4CBcaemK,['正常'],https://weibo.cn/u/2135025103
111,1,3085611787,  山东,2017-05-24 18:59:46,https://weibo.cn/comment/F4Cj1nS15,['正常'],https://weibo.cn/u/3085611787
108,1,2731103062,  湖南,2017-05-24 20:24:03,https://weibo.cn/comment/F4CRf2LIx,['正常'],https://weibo.cn/u/2731103062
112,1,5192247530,  河南,2017-05-25 11:13:38,https://weibo.cn/comment/F4IGju1Zq,['正常'],https://weibo.cn/u/5192247530
