,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path,weibo_content,repost_num,thumbs_up,comment_num,id_tweets,id_following,id_follower,comments
0,73,1,3791688344,  北京,None,nn,['中'],https://weibo.cn/u/3791688344,nn,nn,nn,nn,1366,416,98,['deleted']
1,77,1,6607181111,  山西,2019-01-08 14:06:49,https://weibo.cn/comment/HaZkqDXtx,['中'],https://weibo.cn/u/6607181111,:@所有人【转发】卫生局发出的紧急通知：这次的EB流感很严重，有预防的方式，就是要保持喉咙黏膜的湿润，不能让喉咙干燥，因此一定不要忍耐不喝水，喉咙的黏膜干燥，在10分钟内病毒就能入侵体内。每次喝50-80cc的温水，孩子30-50cc，依年龄大小，觉得喉咙有点干就喝，不要考虑，也不要忍一下，手边要保持有水可以提供喝才行，水不用一次喝很多，那样是没用的，很快排出体外，而是要一直保持喉咙湿润不干燥才是正确。在3月底前，人多的地方暂时不要去，坐地铁或公车，有需要便请带口罩。炸物辣食先暂停，维他命c要补充够。（大家把这条信息发到家长群里）        疾控中心提醒：近期流感特点：1，快速高烧，不易退，退烧后再次发热。2烧后转入咳嗽期，持续时间长。3儿童居多。4成人以咽部症状为重，伴头痛和周身不适。5传染性强。温馨提示，家长们，家里老人孩子注意谨防全中！※室温一定不要高，25度最近病毒严重，大家照顾好自己的身体，同时提醒孩子注意卫生清洁，多喝水。,0,0,0,669,602,141,[]
2,88,1,2914158685,  山东,None,nn,['中'],https://weibo.cn/u/2914158685,nn,nn,nn,nn,12306,2553,3571,['deleted']
3,188,1,1853734181,  北京,None,nn,['中'],https://weibo.cn/u/1853734181,nn,nn,nn,nn,4293,457,202,['deleted']
4,82,1,5386362398,  陕西,2019-01-09 19:18:20,https://weibo.cn/comment/HbaNnd9Rr,['正常'],https://weibo.cn/u/5386362398,:#西安爆料# 西安地铁一男子嗑瓜子仍在地上不听劝阻，还骂人被一个穿着铠甲的人用锤子砸的头破血流。ps：不管是真的还是假的不管是以前视频，还是最近的，小编想说：地铁属于公共的，请大家共同爱护 #谝在西安# JL-张超的微博视频 ,1,2,7,11219,624,112177,"[['这个电影拍的好   很真实  看不出来摆拍', '3', '01月09日 22:54'], ['“2016年3月15日，西安市公安局专门针对此事发布消息称：“西安地铁嗑瓜子男被暴力殴打”的视频，是陕西某影视公司在地铁拍摄的一部片子，不是真实发生的事件，也并非地铁部门官方出品。”这是一个恶搞的旧片子，还请大家注意！', '2', '01月09日 22:22'], ['回复<a href=""/n/%E8%A5%BF%E5%AE%89%E5%9C%B0%E9%93%81"">@西安地铁</a>:我误导谁了？最后不会看后面写的ps，谁不知道是16年的，摆拍时候你们干嘛呢？到底谁先引起的误导？', '1', '01月09日 21:56'], ['建议您停止传播该信息，以免误导网友。 <a href=""https://ww1.sinaimg.cn/large/8d650637ly1fz0o7e237tj20u01467by.jpg"">评论配图</a>', '4', '01月09日 21:49'], ['<a href=""/n/%E6%9F%A0%E6%A3%AE"">@柠森</a>', '0', '01月09日 20:19']]"
5,103,1,1307191010,  安徽,2019-01-10 13:10:16,https://weibo.cn/comment/HbhOtgk5i,['正常'],https://weibo.cn/u/1307191010,:亲吻病毒（EB流感）并不可怕，注意卫生，合理防范…图为阜阳市医院儿科急诊流感患者爆满~提醒家长朋友们：不要嘴对嘴亲吻儿童，并注意保暖防寒～,1,6,3,3060,438,142459,"[['回复<a href=""/n/%E5%BF%AB%E4%B9%90%E6%9D%8E%E5%B0%8F%E6%A1%83"">@快乐李小桃</a>:嗯，放心你不会感染的<img alt=""[嘻嘻]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-813ededea2.png"" style=""width:1em; height:1em;""/>', '0', '01月10日 13:52'], ['回复<a href=""/n/%E8%80%81%E9%B9%B0%E7%A7%91%E6%8A%80%E5%88%98"">@老鹰科技刘</a>:<img alt=""[允悲]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;""/>', '0', '01月10日 13:23']]"
6,227,2,3738563890,  北京,2019-01-04 00:42:03,https://weibo.cn/comment/HailN5v3Z,['中'],https://weibo.cn/u/3738563890,:此女孩名叫刘海燕20岁，湖南常德人以698分考入美国哈佛大学，美国举行全国学术论坛，以第一名夺冠回国,450,16011,855,6297,1030,17865,"[['这才是祖国的花朵长成的栋梁之才[加油][加油]', '3320', '01月05日 21:18'], ['看到这么少的评论和赞，真的很痛心，要是一些明星回国下面会一群舔狗，这个社会，这个国家真的看不到希望了……', '926', '01月07日 10:36'], ['一脸尴尬，现在人都这么好骗吗？美国SAT满分1600诶，再说哈佛是考进去的吗？你就算考满分都进不去的好吧，都是自己努力加上爹牛逼。<img alt=""[二哈]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0fecc90ac1.png"" style=""width:1em; height:1em;""/>', '1087', '01月11日 06:20'], ['回复<a href=""/n/Tornado_Lover"">@Tornado_Lover</a>:我也在想哈佛门槛 好像中国高考', '0', '03月17日 22:37'], ['哪里能举报？', '0', '02月26日 13:32'], ['人生高光时刻', '0', '02月21日 04:26'], ['回复<a href=""/n/%E5%93%A5%E8%B0%AD%E5%94%B1%E8%B7%B3%E7%AC%AC%E4%B8%80%E4%BA%BA"">@哥谭唱跳第一人</a>:哦', '0', '02月20日 00:05'], ['回复<a href=""/n/%E5%B1%B1%E7%9F%B3%E4%B9%8B%E4%B8%8BG"">@山石之下G</a>:这是谣言！已辟谣<img alt=""[拜拜]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-71b47dffdc.png"" style=""width:1em; height:1em;""/>', '0', '02月19日 22:29'], ['栋梁。追这种星才对', '0', '02月19日 11:01'], ['回复<a href=""/n/Tornado_Lover"">@Tornado_Lover</a>:终于有个明白人了', '0', '02月17日 01:05'], ['求求各位好心人救救我两位尿毒症姐姐，感激不尽<img alt=""[悲伤]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-f8d6de06c8.png"" style=""width:1em; height:1em;""/>', '1', '02月16日 21:16'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:日过你只是善意的语气正常的提醒那我当然无话可说 最后一句反送给你<img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-cb12e18fd5.png"" style=""width:1em; height:1em;""/>', '0', '02月15日 20:03'], ['回复<a href=""/n/%E5%8D%BF%E6%97%A0L"">@卿无L</a>:说这些又扯其他的 楼上说2400的原话你再读读？姑且算你也是学SAT或者学过已经在国外的 你不知道改革我随便你ok? 戾气真重', '0', '02月15日 19:23'], ['回复<a href=""/n/%E5%8D%BF%E6%97%A0L"">@卿无L</a>:你开心就好 呵呵呵', '0', '02月15日 19:17'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:对对对就指出四百分   知道的知道你说四百分  不知道的以为我欠你八百万   别人不知道SAT改革有什么问题吗？？？ 你还要先问候一下？？', '0', '02月15日 18:27'], ['回复<a href=""/n/%E5%A5%BD%E6%83%B3%E4%BD%A0%E5%B0%8F%E6%89%AB%E5%B8%9A"">@好想你小扫帚</a>:带点脑子好吗?', '0', '02月15日 15:23'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:可能我表述不清让你误解了 我的意思就是美国大学对高考的要求参照700分完全足够了 只是美国大学只看高考是不可能的 还有很多核心条件像雅思托福sat以及证书证明之类的', '0', '02月15日 14:43'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:是啊 高考成績和在校成绩并没有决定作用 仅是参考作用而已 所以我之前说的是美国大学不仅看成绩还需要很多申请证明什么的啊…我的意思就是高考700分够了 但还需要很多各种条件', '0', '02月15日 14:39'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:还是那句话 术业有专攻 其他的我不懂 就亲身走过了一遍申请流程 可能会比咨询熟那么一点点 你说参考在校成绩我不反对 可在校成绩高考也只是一部分而已 大部分人秋季入学甚至不会提交高考 哪里是什么700分随便挑 您厉害咨询一下就敢说这话 那我建议我国各省高考状元上700的全部去哈佛', '0', '02月15日 12:15'], ['回复<a href=""/n/%E5%8D%BF%E6%97%A0L"">@卿无L</a>:这也是抬杠？同学我就指出最低分400而已 都是留学生我也没有多说什么', '0', '02月15日 12:11'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:8 9月申请那是春季入学 比较少 其次 只要求你提供在校的transcript 高考也最多放在transcript上面 并没有多大的作用 主要还是在校的GPA', '0', '02月15日 12:08'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:我就是正在搞美国大学申请的 在校成绩多久和高考挂钩了？', '0', '02月15日 12:05'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:更多看的钱！很多成绩好的没钱照样进不了！', '0', '02月15日 11:03'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:你不知道上哈弗大学除了成绩还有更重要的学费吗？30万美金！', '0', '02月15日 11:03'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:不好意思啊，不光是这个八百分的问题好吗？？？你要是愿意杠那我陪你啊？？offer最三四月？春季入学不可以吗？嗯？ 别人活在几年前？那人家考的老SAT不可以吗？？ 一六年之前考的你还得叫声前辈好吗？同学你炸药包转世吧 我这也是实话好吗？？？', '0', '02月15日 09:55'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:高考700分并没有夸张到全球学校可以挑，你应该看一看各省的分数线以及985对各省的分数线要求', '0', '02月15日 08:31'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:而且很多美国大学直到8.9月份都还可以申请 高考后完全来得及<img alt=""[嘻嘻]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-813ededea2.png"" style=""width:1em; height:1em;""/>', '0', '02月15日 01:59'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:<img alt=""[嘻嘻]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-813ededea2.png"" style=""width:1em; height:1em;""/>', '0', '02月15日 01:51'], ['回复<a href=""/n/%E5%8D%BF%E6%97%A0L"">@卿无L</a>:也不是你说的交白卷800啊 说实话就是杠？', '0', '02月14日 22:07'], ['回复<a href=""/n/MiokyYu"">@MiokyYu</a>:能别跟炸药一样杠吗兄弟    四百就四百啊 所以呢？？？', '0', '02月14日 21:41'], ['回复<a href=""/n/%E5%8D%BF%E6%97%A0L"">@卿无L</a>:SAT交白卷400好伐 文法阅读100数学200', '0', '02月14日 20:34'], ['回复<a href=""/n/%E7%88%B1%E5%90%83%E7%83%A4%E7%BE%8A%E8%85%BFkk"">@爱吃烤羊腿kk</a>:美国大学本科参考高考成绩 哈哈哈哈哈哈 offer最迟3月或者4月就发了 6月高考有什么用？别不懂装懂', '0', '02月14日 20:34'], ['好棒啊，梦想的力量', '0', '02月14日 17:38']]"
7,75,3,5570283618,  江西,2019-01-15 09:41:33,https://weibo.cn/comment/Hc1Af6XRM,['中'],https://weibo.cn/u/5570283618,:近日，一上海女子在商场欲买五千元衣服，丈夫觉得贵婉拒。女子当面给其情夫打电话，情夫立即转账五千，女子潇洒的买下衣服。丈夫当场目瞪口呆，在被极端羞辱的状况下，愤然从商场五层跳了下去。难以置信，不值得！ ,3,5,8,20054,434,424767,"[['不实你还乱报道', '0', '01月24日 12:32'], ['这种造谣警察叔叔不管吗', '0', '01月22日 04:37'], ['事情根本不是这样，事情发生在绍兴嵊州市， 吾悦广场，死者生前有抑郁症，一直在治疗', '0', '01月16日 12:14'], ['太假了吧，五楼，一点血没流？', '2', '01月15日 10:57'], ['潘金莲看到这个会不会感叹出生的太早了！', '1', '01月15日 10:20'], ['情何以堪，看完瞬间惊呆了。。。脑补绿巨人变身失败。。。', '0', '01月15日 10:11']]"
8,61,1,6661456348,  海外,2018-12-19 00:31:00,https://weibo.cn/comment/H7Rrm1y1I,['中'],https://weibo.cn/u/6661456348,该微博因被多人投诉，根据《微博社区公约》，已被删除。查看帮助：http://t.cn/zjmuxz1,20,4,2,2115,286,1286,"[['而且特刮拉子也才1分钟哦，ng50次呢<img alt=""[中国赞]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_chnlike-2c6f482dac.png"" style=""width:1em; height:1em;""/>', '0', 'time not available']]"
9,87,2,1199272300,  北京 东城区,2019-01-15 17:40:20,https://weibo.cn/comment/Hc4IzxNjQ,['中'],https://weibo.cn/u/1199272300,:#因为五千块跳楼# 据网友说，近日，上海一女子在商场欲买五千元衣服，丈夫觉得贵婉拒。女子当面给其情夫打电话，情夫立即转账五千，女子潇洒的买下衣服。丈夫当场目瞪口呆，在被极端羞辱的状况下，愤然从商场五层跳了下去。对此，你怎么看？ ,19,11,64,18718,887,657002,"[['他有两个特点：一、面对强刺激，瞬间产生的羞耻和愤怒难以消化；二、将情绪指向自己。——如果换成一个将情绪指向他人的，结局会大不一样。', '15', '01月15日 17:59'], ['这个丈夫挺悲哀的，可以被妻子如此羞辱，其内在早已虚弱不堪、满目疮痍，此事件是最后一根稻草。', '20', '01月15日 17:49'], ['“没能力就别结婚 还怪我们小仙女出轨？看看自己什么德行 配我们新时代女性吗<img alt=""[摊手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-3abaa4ed77.png"" style=""width:1em; height:1em;""/>', '7', '01月15日 19:49'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:凑，引号不如狗头，大兄dei', '0', '01月18日 22:06'], ['我觉得为这种女人不值得，这种女人不值得和她结婚，她应该就是个公交车，你说值得吗，还有那么多好的女人值得你去珍惜呢。', '0', '01月17日 16:23'], ['这不是正好吗 死了正好成全', '1', '01月16日 22:18'], ['俞敏洪说错了吗？<img alt=""[doge]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;""/>', '1', '01月16日 18:01'], ['回复<a href=""/n/Scorpio1116"">@Scorpio1116</a>:已经举报', '0', '01月16日 14:44'], ['回复<a href=""/n/%E6%B5%B7%E6%B4%8B468"">@海洋468</a>:最悲哀的是他从未想过，尊严不是别人给的，而是自己给自己的。', '1', '01月16日 10:11'], ['5000块足已两个美眉和你激情一夜了，不晓得为什么会想不开，大兄弟，现在婚不是你想结就结的 我信你能中千万彩票不信你能结识到一个知心的女人！个人观点，小仙⌚️闭肛 我是新时代男性的小小代表', '2', '01月16日 09:20'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:嗯，很可能是假的', '0', '01月16日 09:10'], ['回复<a href=""/n/Scorpio1116"">@Scorpio1116</a>:已投诉。现在的营销号，真是不择手段。', '0', '01月16日 08:44'], ['开局一张图，内容全靠编，已举报', '0', '01月16日 01:34'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:你⛵️你🐎呢', '0', '01月15日 23:18'], ['回复<a href=""/n/Scorpio1116"">@Scorpio1116</a>:反正我举报了，大家跟上，上海人得罪你了！？？？', '0', '01月15日 22:49'], ['我看有病的是你 <a href=""https://ww3.sinaimg.cn/large/5ca002ably1fz7nj96ysgj20u01hcn27.jpg"">评论配图</a>', '10', '01月15日 22:45'], ['太极端', '0', '01月15日 22:11'], ['回复<a href=""/n/%E4%B8%8D%E6%BD%87%E6%B4%92%E7%9A%84Miss%E5%BC%A0"">@不潇洒的Miss张</a>:首先我不知道这件事是不是真的，如果是真的。这就诠释了什么叫“杀人诛心”', '1', '01月15日 21:45'], ['不知道是真假，先不评论啦', '0', '01月15日 21:44'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:出轨就该离婚啊，跳楼确实不值得', '0', '01月15日 21:38'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:哈哈 才看见 <img alt=""[允悲]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;""/>', '0', '01月15日 21:37'], ['回复<a href=""/n/%E7%80%9D%E5%A6%B9%E5%84%BF%E6%88%90%E9%95%BF%E6%89%8B%E5%86%8C"">@瀝妹儿成长手册</a>:引号没看见？', '1', '01月15日 21:36'], ['回复<a href=""/n/cx-sherry"">@cx-sherry</a>:你是谁啊？呜呜渣渣的！呵呵，毕竟1:112', '0', '01月15日 21:35'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:这是什么神仙评论？你的三观了？', '1', '01月15日 21:35'], ['没钱为啥要结婚 找罪受<img alt=""[NO]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_buyao-cf20be4de3.png"" style=""width:1em; height:1em;""/>', '0', '01月15日 21:27'], ['回复<a href=""/n/%E5%8D%81%E5%85%83%E9%87%8C%E5%BD%AC"">@十元里彬</a>:又是个不要脸的，你们的小仙表为啥要嫁？', '2', '01月15日 21:16'], ['回复<a href=""/n/%E5%AE%81%E5%AE%81%E8%A6%81%E9%97%AA%E9%97%AA%E4%BA%AE%E4%BA%AE"">@宁宁要闪闪亮亮</a>:真不要脸。', '0', '01月15日 21:13'], ['回复<a href=""/n/%E5%91%A8%E5%85%AC%E5%AD%90%E5%BF%83%E7%90%86"">@周公子心理</a>:如果换成一个向外的，可能也出人命了，是别人的命', '0', '01月15日 20:43'], ['看着像同一个商场啊 <a href=""https://ww4.sinaimg.cn/large/d5809db8ly1fz7jr60aacj20u01hcn6i.jpg"">评论配图</a>', '2', '01月15日 20:34'], ['回复<a href=""/n/Densefog%E7%9F%A5%E8%A1%8C%E5%90%88%E4%B8%80"">@Densefog知行合一</a>:嘴这么毒呀 小心报应哦', '0', '01月15日 20:33'], ['回复<a href=""/n/%E5%AE%81%E5%AE%81%E8%A6%81%E9%97%AA%E9%97%AA%E4%BA%AE%E4%BA%AE"">@宁宁要闪闪亮亮</a>:你TM眼瞎啊，这是一件衣服的事吗?我祝你以后老公和男朋友养一堆小三。然后在你人老珠黄的时候把你踹掉！', '0', '01月15日 20:23'], ['回复<a href=""/n/%E5%AE%81%E5%AE%81%E8%A6%81%E9%97%AA%E9%97%AA%E4%BA%AE%E4%BA%AE"">@宁宁要闪闪亮亮</a>:你眼睛好像很斗鸡眼，哈哈哈', '0', '01月15日 20:15'], ['唉😔没钱就是最大的罪过', '0', '01月15日 20:12']]"
