,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,reported_path,weibo_content,repost_num,thumbs_up,comment_num,id_tweets,id_following,id_follower,comments
0,88,1,6585355421,  其他,2018-06-27 21:02:43,https://weibo.cn/comment/GnlaK3kyz,['中'],https://weibo.cn/u/6585355421,:合肥蹦极，工作人员忘系绳索了，将姑娘推了下去后发现没系绳索，绳子却在工作人员身上，由于工作人员严重失误，断送年仅22岁女孩的生命！不要轻易把自己的生命交给别人。不要去做冒险的娱乐活动。 微博故事 ,0,1,0,19,29,6,[]
1,93,1,5163080699,  浙江,2018-07-06 18:15:02,https://weibo.cn/comment/GoGV9axqS,['中'],https://weibo.cn/u/5163080699,:证实不是普吉岛翻船是印尼翻船事件，灾祸令人心痛！！！ 荷兰·阿姆斯特丹 ,4,2,2,691,1108,676,"[['我的天这个视频第一次看到，痛心哦', '0', 'time not available']]"
2,85,1,2694825461,  广东,2018-07-06 19:19:03,https://weibo.cn/comment/GoHl87Ygm,['中'],https://weibo.cn/u/2694825461,:#泰国游船翻船# 【普吉游船倾覆影像及海中救人视频曝光】当地时间5日下午，凤凰潜水号游船在返回普吉岛途中，突遇特大暴风雨发生！#泰国游船倾覆# 河源小葡萄集的微博视频 ,0,3,0,6659,1035,2738,[]
3,152,1,5377183410,  浙江,2018-07-07 07:51:12,https://weibo.cn/comment/GoMgqtu4A,['中'],https://weibo.cn/u/5377183410,:【楼上楼下互粉开始啦】粉10位好友，一小时后你会增加100位好友，粉100位好友，明天你会增加1000位好友，留下评论和点赞，将这条信息转发出去，#金v互粉[超话]##万人互粉群[超话]#实拍河北邢台洪水水灾，太恐怖了#互粉天下[超话]##互粉[超话]##戏精的诞生#互粉天下[超话]##互粉大厅[超话]##橙V互粉认证[超话]# 熙宫小二的秒拍视频,0,9,20,964,3611,101207,"[['粉吗？', '0', 'time not available'], ['互粉的朋友们，先关注我，评论里留言，我晚上一一回复，没有➕关注的不予回复，骗粉请绕道', '0', 'time not available'], ['水火无情', '0', 'time not available'], ['这好像是当年日本地震海啸的吧？', '0', 'time not available'], ['互', '0', 'time not available'], ['回复<a href=""/n/%E7%86%99%E5%AE%AB%E5%B0%8F%E4%BA%8C"">@熙宫小二</a>:粉', '0', 'time not available'], ['回复<a href=""/n/%E8%83%A1%E5%9B%BE%E5%9B%BEDarling"">@胡图图Darling</a>:粉', '0', 'time not available'], ['互粉', '0', 'time not available'], ['回复<a href=""/n/%E8%8F%8A%E8%8A%B1%E7%9F%B3338"">@菊花石338</a>:粉', '0', 'time not available'], ['回复<a href=""/n/%E8%83%A1%E5%9B%BE%E5%9B%BEDarling"">@胡图图Darling</a>:回我一个', '0', 'time not available'], ['回复<a href=""/n/%E8%8F%8A%E8%8A%B1%E7%9F%B3338"">@菊花石338</a>:已主动，你回我可好', '0', 'time not available'], ['回复<a href=""/n/%E7%86%99%E5%AE%AB%E5%B0%8F%E4%BA%8C"">@熙宫小二</a>:粉', '0', 'time not available'], ['回复<a href=""/n/%E8%83%A1%E5%9B%BE%E5%9B%BEDarling"">@胡图图Darling</a>:已粉', '0', 'time not available'], ['水火无情', '0', 'time not available'], ['回复<a href=""/n/%E8%83%A1%E5%9B%BE%E5%9B%BEDarling"">@胡图图Darling</a>:已回粉', '0', 'time not available'], ['粉吗？', '0', 'time not available'], ['互粉的朋友们，先关注我，评论里留言，我晚上一一回复，没有➕关注的不予回复，骗粉请绕道', '0', 'time not available']]"
4,102,9,1834355083,  广东,None,nn,['中'],https://weibo.cn/u/1834355083,nn,nn,nn,nn,nn,nn,nn,['deleted']
5,88,1,1266456233,  广东,2018-07-06 21:56:22,https://weibo.cn/comment/GoImZstXm,['中'],https://weibo.cn/u/1266456233,:#泰国游船翻船事故# 来自游客现场视频视1 提着酱油看众生的秒拍视频 ,0,8,5,202,195,131,"[['这不是这次的好吗', '1', 'time not available'], ['是获救前还是后？', '0', 'time not available'], ['请问这是哪艘船？', '1', 'time not available'], ['<a href=""/n/%E5%BE%90%E7%92%90%E6%B2%A1%E6%9C%89%E5%85%AC%E4%B8%BB%E7%97%85"">@徐璐没有公主病</a>', '0', 'time not available']]"
6,93,1,1704031751,  辽宁 沈阳,None,nn,['正常'],https://weibo.cn/u/1704031751,nn,nn,nn,nn,nn,nn,nn,['deleted']
7,99,1,6557153780,  黑龙江,None,nn,['中'],https://weibo.cn/u/6557153780,nn,nn,nn,nn,83,142,25,['deleted']
8,97,1,5384771805,  海外,2018-05-30 19:24:10,https://weibo.cn/comment/Gj4yPBFrO,['中'],https://weibo.cn/u/5384771805,:重大失误，估计凶多吉少了~,20,92,27,14141,1203,792486,"[['看到绳子了在两只脚中间。', '21', 'time not available'], ['人家本人都辟谣了，你还在这造谣，你怕是没有蹭过极', '23', 'time not available'], ['第五秒自己看 绿色的绳子', '0', 'time not available'], ['图片评论 <a href=""https://ww4.sinaimg.cn/large/6f01472cgy1ft7cl6r1ewj20k00f0dgt.jpg"">评论配图</a>', '0', 'time not available'], ['回复<a href=""/n/%E9%87%8E%E7%8B%97%E4%BC%9A%E7%A9%BF%E4%B8%8A%E9%BB%84%E9%87%91%E7%94%B2"">@野狗会穿上黄金甲</a>:不能发图5秒你看一下 我没色盲哦', '0', 'time not available'], ['图片评论 <a href=""https://ww4.sinaimg.cn/large/c9df35eegy1fst1kq0kzqj20ec07ejrv.jpg"">评论配图</a>', '1', 'time not available'], ['我举报了，不知道有用不，那就在at一下警察叔叔吧 <a href=""/n/%E7%BD%91%E7%BB%9C%E8%AD%A6%E5%AF%9F"">@网络警察</a>', '0', 'time not available'], ['你大概需要看眼科', '0', 'time not available'], ['垃圾营销', '0', 'time not available'], ['回复<a href=""/n/%E6%88%91%E7%9A%84%E8%83%96%E5%A6%9E%E5%91%A2"">@我的胖妞呢</a>:蓝绿色盲?<img alt=""[doge]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;""/>', '0', 'time not available'], ['双脚夹住的是啥？没蹦过这样的？', '0', 'time not available'], ['不知道一般蹦极都绑脚上的吗？<img alt=""[摊手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-3abaa4ed77.png"" style=""width:1em; height:1em;""/>', '2', 'time not available'], ['人家已经出来辟谣了好不，恶意P图，原来有绳子的好吗', '2', 'time not available'], ['假新闻！', '2', 'time not available'], ['人家本人都辟谣了，你还在这造谣，你怕是没有蹭过极', '23', 'time not available'], ['忘了绑？', '0', 'time not available'], ['第五秒自己看 绿色的绳子', '0', 'time not available'], ['<a href=""/n/%E8%A6%81%E4%BE%9D%E6%81%8B%E6%88%91"">@要依恋我</a>', '0', 'time not available'], ['肯定在脚上，绑腰上腰得断了。', '7', 'time not available'], ['看到绳子了在两只脚中间。', '21', 'time not available'], ['这个是绑在脚上的', '1', 'time not available'], ['绑脚上的，角度问题，那个最后的咔哒一响就是蹦极绳拉扯平台的震动声', '3', 'time not available'], ['我日？？？<img alt=""[doge]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;""/>', '0', 'time not available'], ['绑了吧', '0', 'time not available'], ['<img alt=""[衰]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_shuai-3dcd4d86c5.png"" style=""width:1em; height:1em;""/>', '0', 'time not available']]"
9,148,58,1836806713,  北京,2018-07-08 17:20:24,https://weibo.cn/comment/GoZpXCQCg,['中'],https://weibo.cn/u/1836806713,:沉船现场#泰国游船翻船##泰国游船倾覆# 田林松的微博视频 ,9,66,24,8221,1501,10084,"[['这个视频不是泰国事故的，不要转了', '7', 'time not available'], ['别瞎转，这不是', '8', 'time not available'], ['这明显不是泰国翻船的啊', '6', 'time not available'], ['老哥想去派出所喝茶吗', '0', 'time not available'], ['明显不是这个船 也不是这个天气', '0', 'time not available'], ['回复<a href=""/n/HUIo0O"">@HUIo0O</a>:我是看报道了解的。一楼的人穿了救生衣，二楼的人穿救生衣比较少。船是后舱先进水，船头朝上90度沉入水中。从生还概率角度讲，穿救生衣比不穿救生衣生还的概率大，救生衣可以帮你浮在水中；第二，早跳比晚跳好。及时判断沉船并跳入海中，可以避免被船拖进海中并且大概率可以上救生艇或者被沿途船只救援', '0', 'time not available'], ['回复<a href=""/n/%E6%B5%B4%E8%A1%80%E9%87%8D%E7%94%9F13"">@浴血重生13</a>:在船顶的生还的人多吗，我看还有抱着几个月的小孩，心疼死了，唉', '0', 'time not available'], ['回复<a href=""/n/HUIo0O"">@HUIo0O</a>:据说是印尼的，很早之前的视频', '0', 'time not available'], ['举报！蹭热度真特么可耻', '2', 'time not available'], ['还清华大学的？？就这脑子', '1', 'time not available'], ['SB', '1', 'time not available'], ['回复<a href=""/n/%E6%B5%B4%E8%A1%80%E9%87%8D%E7%94%9F13"">@浴血重生13</a>:这是哪里的？', '0', 'time not available'], ['这好像印尼沉船事故', '0', 'time not available'], ['举报了，脑子是个好东西', '4', 'time not available'], ['神经病', '1', 'time not available'], ['大家举报一波吧，这视频是印尼的', '2', 'time not available'], ['造谣生事 带带脑子吧', '1', 'time not available'], ['都不是中国人 造谣！！！！', '2', 'time not available'], ['脑子是个好东西', '0', 'time not available'], ['这不是', '0', 'time not available'], ['这不是，翻的不是这船，翻船那天我见过那船', '1', 'time not available'], ['装傻还是真傻', '1', 'time not available'], ['别瞎转，这不是', '8', 'time not available'], ['想出名想疯了吧', '3', 'time not available'], ['这明显不是泰国翻船的啊', '6', 'time not available'], ['这个视频不是泰国事故的，不要转了', '7', 'time not available']]"
