view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit
28,1,5600345655,  安徽 蚌埠,2019-05-24 06:21:04,https://weibo.cn/comment/HvCoVdclB,['中']
20,1,5243386157,  其他,2019-05-18 21:03:53,https://weibo.cn/comment/HuNCgFCgF,['中']
18,1,5436045523,  河北,2019-05-17 22:20:38,https://weibo.cn/comment/HuEGVs4Zr,['中']
16,1,1634759661,  广东,2019-05-18 09:24:45,https://weibo.cn/comment/HuJ2uvQdW,['中']
16,1,3480021851,  湖北,2019-05-19 10:24:31,https://weibo.cn/comment/HuSRfrMJM,['中']
19,1,1929787251,  山东,2019-05-18 05:05:39,https://weibo.cn/comment/HuHlkafmL,['中']
27,1,6333630163,  其他,2019-05-17 22:43:56,https://weibo.cn/comment/HuEQo5fC8,['中']
17,1,5842125964,  辽宁,2019-05-19 09:40:27,https://weibo.cn/comment/HuSzmsBsW,['中']
19,1,6266940862,  浙江,2019-05-18 00:40:06,https://weibo.cn/comment/HuFBxkRBt,['中']
18,1,5269334931,  广东,2019-05-25 13:59:37,https://weibo.cn/comment/HvOPxkGmC,['中']
22,1,5720277665,  河北,2019-05-17 22:18:00,https://weibo.cn/comment/HuEFRjfRL,['中']
22,1,1294676502,  四川,2019-05-18 07:46:42,https://weibo.cn/comment/HuIoHtzwc,['中']
22,1,5679744961,  其他,2019-05-21 16:30:47,https://weibo.cn/comment/Hve6Up5Zb,['中']
25,1,1400116395,  上海,2019-06-02 17:14:21,https://weibo.cn/comment/Hx3wyAJdx,['中']
23,1,7145673332,  其他,2019-05-18 12:13:25,https://weibo.cn/comment/HuK8XhjE9,['中']
21,1,3444575412,  香港,2019-05-17 18:05:48,https://weibo.cn/comment/HuD1upce1,['中']
29,1,6079362164,  其他,2019-05-26 00:02:36,https://weibo.cn/comment/HvSMi3UcH,['中']
27,1,6987878725,  浙江,2019-05-17 21:39:16,https://weibo.cn/comment/HuEq8uLOX,['中']
26,1,1791461737,  四川,2019-05-21 08:48:23,https://weibo.cn/comment/Hvb5efqUg,['中']
25,1,6084171454,  吉林,2019-05-17 22:51:27,https://weibo.cn/comment/HuETrtzrR,['中']
