view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit
36,9,6725481376,  贵州,2019-05-16 00:05:22,https://weibo.cn/comment/HumwrxgvM,['中']
73,1,5985950373,  山东,2019-05-15 19:00:42,https://weibo.cn/comment/HukwMrse7,['中']
51,1,5113376293,  辽宁,2019-05-15 22:00:12,https://weibo.cn/comment/HulHDDHuF,['中']
50,1,1782596474,  江苏,None,nn,['中']
30,1,5725514009,  广东,None,nn,['中']
29,1,5725514009,  广东,None,nn,['中']
36,2,5725514009,  广东,None,nn,['中']
31,1,5955012071,  广东,None,nn,['中']
36,1,1853717163,  广东,2019-05-16 21:27:06,https://weibo.cn/comment/HuuUHtvin,['中']
32,1,5140183464,  广东,2019-05-16 21:42:33,https://weibo.cn/comment/Huv0Yj6W9,['中']
94,2,1703924752,  山东,2019-05-16 21:33:42,https://weibo.cn/comment/HuuXnwJVH,['中']
41,1,3494968587,  贵州,2019-05-17 01:08:35,https://weibo.cn/comment/HuwmBmco8,['中']
37,1,1833176342,  江苏,2019-05-15 02:16:20,https://weibo.cn/comment/HudX6BWKe,['中']
37,1,5220861274,  其他,2019-05-17 12:31:26,https://weibo.cn/comment/HuAPMijbj,['中']
58,1,1435108783,  江苏,2019-05-15 02:09:05,https://weibo.cn/comment/HudUaDWfg,['中']
46,1,1675957712,  海外,2019-05-15 13:46:32,https://weibo.cn/comment/HuitgeUHE,['中']
170,1,5532790517,  北京,None,nn,['正常']
7417,121,3488527691,  其他,None,nn,['中']
46,3,5692541220,  四川,2019-05-17 23:00:11,https://weibo.cn/comment/HuEWZ0rvF,['中']
542,1,1799888243,  广东,2019-04-08 22:20:29,https://weibo.cn/comment/HoJ1vcCfX,['中']
