view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit
52,2,6422990932,  其他,2019-04-17 16:01:40,https://weibo.cn/comment/Hq3od370F,['中']
50,2,6408056731,  辽宁 沈阳,2019-04-17 16:02:01,https://weibo.cn/comment/Hq3olzXaS,['中']
55,2,6896600408,  辽宁 沈阳,2019-04-17 16:04:12,https://weibo.cn/comment/Hq3peBAR3,['中']
50,1,6988448989,  辽宁,None,nn,['正常']
56,1,5093878054,  山东 济南,2019-04-17 20:49:07,https://weibo.cn/comment/Hq5gThqjq,['正常']
1079,29,6553997870,  安徽,None,nn,['中']
57,1,6310525470,  辽宁 沈阳,2019-04-17 15:52:10,https://weibo.cn/comment/Hq3km1WL4,['正常']
63,5,5680023541,  其他,2019-04-17 16:06:09,https://weibo.cn/comment/Hq3q2fcER,['正常']
104,4,3283528095,  辽宁 沈阳,2019-04-17 17:54:36,https://weibo.cn/comment/Hq4836a2o,['中']
75,1,2014626001,  河南 洛阳,2019-03-19 16:12:27,https://weibo.cn/comment/HlE4bqOyq,['中']
73,1,5663273840,  河南 信阳,2019-04-18 09:49:37,https://weibo.cn/comment/HqanHdrnv,['中']
83,1,6228808790,  辽宁,2019-04-17 15:53:48,https://weibo.cn/comment/Hq3l13QfH,['正常']
126,3,2376393783,  山东,2019-04-18 08:19:47,https://weibo.cn/comment/Hq9NealIG,['中']
237,2,5108314084,  北京,None,nn,['中']
129,1,5896098556,  广西 贺州,2019-04-20 09:52:55,https://weibo.cn/comment/Hqtg1oiAM,['中']
410,5,3197077575,  湖南 长沙,2019-04-21 09:04:31,https://weibo.cn/comment/HqCmSvG1A,['中']
66,1,6209134100,  天津,2019-04-22 09:22:37,https://weibo.cn/comment/HqLUJ32xD,['中']
344,2,1861477054,  浙江,2019-04-01 20:50:05,https://weibo.cn/comment/HnErkxwYk,['正常']
71,1,6899147392,  内蒙古,2019-04-23 16:50:24,https://weibo.cn/comment/HqYgYsRZe,['正常']
129,29,5986066272,  广东,2019-04-22 10:58:27,https://weibo.cn/comment/HqMxCeAkP,['中']
