view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit
76,2,3016011261,  新疆,2019-07-14 19:31:28,https://weibo.cn/comment/HDsn4mVxn,['正常']
92,1,5874715391,  安徽,2019-07-08 15:29:10,https://weibo.cn/comment/HCwdJtN3Y,['正常']
693,1,5632488385,  北京,2019-07-11 23:24:50,https://weibo.cn/comment/HD1CiFOlJ,['中']
72,6,2463383475,  福建,2019-07-17 01:02:30,https://weibo.cn/comment/HDNoqh5c1,['中']
41,1,6427757317,  海外,2019-07-18 08:29:42,https://weibo.cn/comment/HDZKrg9MW,['中']
973,1,5711070913,  海外,2019-07-15 23:30:57,https://weibo.cn/comment/HDDmLs3g7,['中']
500,187,1623404035,  海外,2019-07-17 15:42:16,https://weibo.cn/comment/HDT9wjYel,['中']
304,11,5272956727,  陕西,2019-07-16 18:31:19,https://weibo.cn/comment/HDKPDD2bQ,['正常']
56,2,6384956581,  北京,2019-07-16 20:18:02,https://weibo.cn/comment/HDLwXFjvt,['正常']
36,2,5629436483,  北京,2019-07-19 08:55:27,https://weibo.cn/comment/HE9lo6F4R,['中']
40,17,5569747157,  北京 东城区,2019-07-17 17:03:11,https://weibo.cn/comment/HDTGmzfSv,['正常']
4291,6,3675736060,  上海,2019-07-19 22:38:26,https://weibo.cn/comment/HEeJrqzyY,['中']
634,48,6224097333,  辽宁,2019-07-18 01:00:50,https://weibo.cn/comment/HDWOfarw3,['中']
26,1,6405349029,  北京,2019-07-16 09:57:36,https://weibo.cn/comment/HDHt7ybq1,['正常']
226,1,6586580892,  北京,2019-07-17 11:37:32,https://weibo.cn/comment/HDRybm644,['正常']
33,2,5568224470,  其他,2019-07-17 08:27:21,https://weibo.cn/comment/HDQiZjiQk,['中']
54,1,5554309791,  其他,2019-07-17 11:47:54,https://weibo.cn/comment/HDRCohhGA,['正常']
152,1,5112811290,  海外,2019-07-19 10:17:08,https://weibo.cn/comment/HE9Sy8SiU,['正常']
79,2,2614543117,  上海,2019-07-16 08:22:11,https://weibo.cn/comment/HDGQopMJe,['正常']
87,1,2396658275,  山东,2019-07-18 15:32:00,https://weibo.cn/comment/HE2vQAicv,['中']
