,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,98,1,3741288143,  四川,7/11/2019 11:22,https://weibo.cn/comment/HCWTd8uMk,['正常'],['no comment accessible'],no access,no access,no access,no access
1,67,1,2542384550,  安徽 合肥,7/11/2019 20:23,https://weibo.cn/comment/HD0qAjtcf,['中'],['no comment accessible'],no access,no access,no access,no access
2,33,1,1843324043,  北京,7/2/2019 21:34,https://weibo.cn/comment/HBE39oBV3,['中'],['no comment accessible'],no access,no access,no access,no access
3,30,1,5743527870,  陕西,7/5/2019 17:27,https://weibo.cn/comment/HC4IlEMK9,['中'],['no comment accessible'],no access,no access,no access,no access
4,96,10,5764432942,  辽宁,7/8/2019 21:16,https://weibo.cn/comment/HCyuGoddD,['中'],['no comment accessible'],no access,no access,no access,no access
5,39,2,3018192657,  湖北,7/8/2019 20:33,https://weibo.cn/comment/HCyd8n21W,['中'],['no comment accessible'],no access,no access,no access,no access
6,31,1,6069152763,  吉林,5/11/2019 9:04,https://weibo.cn/comment/HtEUMgWle,['中'],['no comment accessible'],no access,no access,no access,no access
7,40,1,5634644882,  福建,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
8,745,1,2232193862,  湖南,7/9/2019 23:08,https://weibo.cn/comment/HCIEvCQMG,['中'],['no comment accessible'],no access,no access,no access,no access
9,64,6,3486040104,  福建,7/9/2019 12:30,https://weibo.cn/comment/HCEtBjfbC,['中'],['no comment accessible'],no access,no access,no access,no access
10,121,2,6553771110,  其他,7/10/2019 13:42,https://weibo.cn/comment/HCOnsouZm,['中'],['no comment accessible'],no access,no access,no access,no access
11,435,40,3226899882,  香港,7/9/2019 21:41,https://weibo.cn/comment/HCI5axWv6,['中'],['no comment accessible'],no access,no access,no access,no access
12,133,1,5909858755,  山东,7/10/2019 13:53,https://weibo.cn/comment/HCOrNzSLd,['中'],['no comment accessible'],no access,no access,no access,no access
13,50,1,6586305031,  北京,7/8/2019 15:35,https://weibo.cn/comment/HCwgrmhdL,['正常'],['no comment accessible'],no access,no access,no access,no access
14,190,14,6340026081,  重庆,7/9/2019 18:58,https://weibo.cn/comment/HCH1bahF6,['中'],['no comment accessible'],no access,no access,no access,no access
15,61,1,1711793354,  上海,7/10/2019 12:03,https://weibo.cn/comment/HCNJ3uYDA,['中'],['no comment accessible'],no access,no access,no access,no access
16,46,1,5124483133,  山西,7/7/2019 16:54,https://weibo.cn/comment/HCnlXyjuW,['中'],['no comment accessible'],no access,no access,no access,no access
17,45,1,3873962919,  上海,6/5/2019 22:57,https://weibo.cn/comment/Hxy3s1z6t,['中'],['no comment accessible'],no access,no access,no access,no access
18,125,1,1250636273,  浙江,7/11/2019 10:07,https://weibo.cn/comment/HCWowrU9B,['中'],['no comment accessible'],no access,no access,no access,no access
19,62,1,3100145987,  广东,None,nn,['正常'],['deleted'],deleted,deleted,deleted,deleted
