,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,387,213,3675736060,  上海,2019-07-20 13:27:16,https://weibo.cn/comment/HEkydiY3l,['中'],['no comment accessible'],no access,no access,no access,no access
1,53,5,5150833941,  甘肃,None,nn,['正常'],['deleted'],deleted,deleted,deleted,deleted
2,81,1,1640029171,  上海,2019-07-16 10:41:29,https://weibo.cn/comment/HDHKW9a9p,['中'],['no comment accessible'],no access,no access,no access,no access
3,65,3,2208704887,  浙江,2019-07-19 08:23:38,https://weibo.cn/comment/HE98tAWBV,['中'],['no comment accessible'],no access,no access,no access,no access
4,102,1,2162706231,  北京 朝阳区,2019-07-19 18:42:40,https://weibo.cn/comment/HEdbKeR6n,['中'],['no comment accessible'],no access,no access,no access,no access
5,43,1,1873364460,  湖北 襄阳,2019-06-27 12:39:55,https://weibo.cn/comment/HAPpzwgZx,['中'],['no comment accessible'],no access,no access,no access,no access
6,40,4,1971537652,  上海,2019-07-19 12:29:04,https://weibo.cn/comment/HEaK61Uc3,['中'],['no comment accessible'],no access,no access,no access,no access
7,76,1,5864631680,  辽宁,2019-07-15 15:36:51,https://weibo.cn/comment/HDAgko6Dp,['中'],['no comment accessible'],no access,no access,no access,no access
8,371,38,1411308225,  浙江 杭州,2019-07-18 22:22:18,https://weibo.cn/comment/HE5coyV8K,['中'],['no comment accessible'],no access,no access,no access,no access
9,60,1,1579955845,  河南,2019-07-22 13:49:51,https://weibo.cn/comment/HEDyncego,['中'],['no comment accessible'],no access,no access,no access,no access
10,152,2,2156393955,  北京,2019-07-23 21:29:00,https://weibo.cn/comment/HEPZfgDls,['正常'],['no comment accessible'],no access,no access,no access,no access
11,19,1,1163077420,  广东,2019-07-24 04:00:24,https://weibo.cn/comment/HESy6BWbW,['中'],['no comment accessible'],no access,no access,no access,no access
12,1063,19,1280795897,  山东,2019-07-22 09:28:17,https://weibo.cn/comment/HEBQcwlQA,['中'],['no comment accessible'],no access,no access,no access,no access
13,26,1,3681785620,  其他,2019-07-19 05:06:49,https://weibo.cn/comment/HE7QAxIss,['中'],['no comment accessible'],no access,no access,no access,no access
14,20,1,1269285350,  湖北,2019-07-18 08:55:51,https://weibo.cn/comment/HDZV3jfoH,['中'],['no comment accessible'],no access,no access,no access,no access
15,37,2,5498415038,  北京,2019-07-25 14:18:06,https://weibo.cn/comment/HF61krPV5,['中'],['no comment accessible'],no access,no access,no access,no access
16,2153,6,1842972325,  海外,2019-07-23 10:56:46,https://weibo.cn/comment/HELQCfyjh,['中'],['no comment accessible'],no access,no access,no access,no access
17,17,1,5102556735,  重庆,None,nn,['正常'],['deleted'],deleted,deleted,deleted,deleted
18,17,1,6336987096,  辽宁,2019-07-26 10:57:09,https://weibo.cn/comment/HFe8gfh6g,['正常'],['no comment accessible'],no access,no access,no access,no access
19,20,1,2773277335,  其他,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
