,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,90,1,3201509481,  北京,2019-08-03 15:35:09,https://weibo.cn/comment/I0vUKvB8F,['中'],"[':保时捷女车主住处曝光，800万豪华别墅，出行保时捷豪车，一个当地的派出所所长工资能有多少呢？ ', '派出所所长，年薪一个亿，你以为是开玩笑的？', '', '直辖市所长暂且给他算处级一个月7000多块的工资，加上其他乱七八糟，四舍五入一万块，一年12万。一辆保时捷多钱？这钱怎么来的！', '手里托这个棺材盒到处得瑟', '回复@醉入你眉间-:当年50万就是普通偏上的房子，而且是在回兴，离城里远得很。还真不少，不懂就不要乱劈柴。', '回复@曼荼罗文化:06年的50万说实话真不少了', '回复@醉入你眉间-:50万，就是普通人购房，而山语间也是一个有点偏的小区。还不少了，没看到别个按揭么？ 大部分说得客观，但是说想死，就夸张了。', '回复@曼荼罗文化:06年的50万说实话确实不少了', '回复@ChinaLovesMe:听风就是雨的，的确智商欠费。本来之前我评论的是最多100万，后来删了改成200万，真相是总价50几万', '回复@醉入你眉间-:最新消息出来了，买的房子总价50多万，2006年套内单价5000多，套内90几平，本西装(卖房业务员)当年就在那附近上大学，就是这个价。 所以博猪🐷 就是造谣，打脸不？', '说真的，这女的穿衣品味实在是。。。。。。。感觉就像国共内战期间一样', '你好好 评论配图', '图片评论 评论配图', '回复@曼荼罗文化:不想想物价吗？？？十年前的100和现在的100一样？？？', '反腐“永远”在 路上。', '人家能卖，不服气啊？', '回复@车厘子菌喔:扫黑除恶，哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '这还得往上查，所长的后台应该还有更大的腐败', '不了解成都房价水平，15000单价，在上海大概郊县中的郊县', '派出所所长工资好高啊，以后我也让儿子当所长', '人家坑爹，她坑老公', '一脸克夫相', '第一个事：我很烦她，第二个事：你说的话是否真实，并且你是否能为你说的话负责', '为什么我觉得她像个🐔', '派出所所长 能挣钱的地方可多了 非常多 非常广', '回复@ChinaLovesMe:原来是美国的狗啊(ಥ_ಥ)', '党把这么重要的岗位交给我，我得赤胆忠心啊，我得对得起党，对得起人民，我这人党性原则性很强的', '万一本身就有钱呢？ 为什么思维想法还是以现在的工作而定义一个人到底有多少钱呢？', '800万在北上广深只能买普通的商品房', '村长一个亿，都不是事，别说所长。身为官老爷应该享受。。', '放心吧，最多半个月，这事儿就平了，不会有人查，不会有任何事儿，像没发生过一样。', '不是扫黑除恶吗？不是顶风作案吗？如果这个事草草了案，这个ZF就真的没希望了，什么都可以喊口号', '我去，给扒这么干净啊！网络果然可怕']",:保时捷女车主住处曝光，800万豪华别墅，出行保时捷豪车，一个当地的派出所所长工资能有多少呢？ ,43,957,197
1,83,5,6183832861,  安徽,2019-08-22 12:25:44,https://weibo.cn/comment/I3nNizUdN,['中'],['no comment accessible'],:广西南丹县吃猪肉全家中毒死亡，,1,1,4
2,259,2,1626336345,  河北 保定,2019-08-20 20:03:08,https://weibo.cn/comment/I37VYmyEr,['中'],['no comment accessible'],:云南边境果敢出现缅甸军人抢劫。中国武警火速出击 云南边境果敢出现缅甸军人抢劫。中国武警火速出击 @优酷 ,31,212,11
3,99,1,5074648251,  北京,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
4,73,2,6107054710,  山东 东营,2019-08-22 11:28:58,https://weibo.cn/comment/I3nqgdu4U,['中'],['no comment accessible'],:重要通知，请各位居民请不要到河边观看河水，接上级通知西岭镇月牙湖垮塌，河水马上冲下来。必要时注意群众游客转移，请大家多注意安全，相互告知。（还有大家不要下河逮鱼了！！） 东营 cwq淡然的微博视频 ,0,5,1
5,389,45,5185572214,  河南,2019-08-22 15:40:24,https://weibo.cn/comment/I3p4jwsfR,['中'],"[':#郑州爆料# 重要通知：少数民族运动会期间，郑州所有物流停运，大家该屯东西的这两天赶紧！8月25号起快递停运！@郑州同城 ', '', '你哪来的消息啊？官方还没动静呢，你倒在这里传起来了！图片日期下面为什么没有颁发此通知的机构组织？这个图片空口无凭，你为什么还要发出来？', '卧槽 都是开学季 学生不寄东西嘛！！！！', '事实是我订的奶粉的确到郑州转不过来。。。', '回复@整天回忆青春有啥用:物流的已经停了，通知说放假45天，不知道真的假的？', '图片评论 评论配图', '官方宣布，不停运', '你犯法了', '已经辟谣了', '回复@整天回忆青春有啥用:辟谣了 不停运', '回复@young大仙儿:果然是代购搞出来的 真恶心', '假的还不删？政府都辟谣了', '官方造谣，最为致命', '回复@学法律小孩的爷爷:图片评论 评论配图', '回复@9时21分_:假的，辟谣了', '物流？呵呵，连集贸市场都给关了', '哈哈哈，这博主好搞笑，二十五号快递停运，你让准大一学生还寄不寄东西了。毕竟还没开学呢', '少数民主脸大，北京奥运会都没停物流，你这停😠', '回复@二二二嘚瑟:对 所以应该把造谣的人抓起来', '回复@入骨相思2211:假消息', '问了好多快递都没收到通知 菜鸟也是', '举报，不能容忍', '卧槽 都是开学季 学生不寄东西嘛！！！！', '不晓得办这好处在哪，', '你是自己p了个图？', '回复@爱吃猪肉的阿訇:也有汉族的节目', '回复@诗阳不写诗:假的呀  不怪在郑州举报的这个运动会好吧', '放假吗？', '啥玩意儿，公告谁发的？没个单位名字，没有公章，假的不能再假了', '那东西在路上咋办啊', '顺丰表示不停', '举报', '回复@和炸炸在新世界相遇:+1']",:#郑州爆料# 重要通知：少数民族运动会期间，郑州所有物流停运，大家该屯东西的这两天赶紧！8月25号起快递停运！@郑州同城 ,9,240,124
6,104,2,1909702753,  上海,2019-08-27 19:03:09,https://weibo.cn/comment/I4bx6mfOp,['中'],['no comment accessible'],:分享图片 ,129,30,1
7,183,6,5616413326,  广东,2019-08-23 07:29:49,https://weibo.cn/comment/I3vhGrFbo,['中'],"[':【江苏宜兴警方调查涉黄浴室】网友爆料称，江苏宜兴警方调查涉黄浴室二维码转账记录，付款超过600元者都涉嫌嫖娼需到派出所报道，已抓获1200余名嫖客。为此，宜兴警方回应称传唤这些人只是说明情况，配合调查，是否嫖娼会根据证据进行认定。 ', '纯粹没事找事，一边喊警力不足治安管不好，大案破不了。一边为个p事传唤一千二百人。当地的公安局长该下课', '认定？？？怎么认定，转账记录？？？', '论现金的重要性', '回复@立志不劳而获的猫:有些事你还么看透彻！有些事不能明说！', '回复@禹锅锅_97:你不是说是600以上的就是嫖娼的？', '回复@BigWhiteZzz:人家只是说去公安局配合调查。说抓你了。？', '我叫了三个技师给我修脚不行吗？', '妈的，把我们这些单身狗往死里逼呀！女人要车要房，派出所又扫黄…要不凡是单身都奄割算了', '回复@Loki丶新:小伙子很有经验呐', '回复@生命因你而火热啊:公安局长是烧灰的，后面张着手等待抓钱的不知道有多少，政策套路', '回复@隔壁罗家小明:', '怕了，下次带现金还好点', '社会变了！嫖娼也可以扫码了……', '还好我随身都带现金', '回复@hellhell:归根结底你们是觉得嫖娼不该抓，如果是醉驾有其他侦查手段，你们不会去帮驾驶员想这些逃避处罚的小聪明，醉驾的危害性经常直接的暴露出来。但卖淫嫖娼很多都是黑社会的收入手段之一', '回复@幢楼:请两个人一只脚一个。有钱任性。反正没有大保健。', '回复@立志不劳而获的猫:看来你很懂得嘛', '回复@BigWhiteZzz:没问题，只要那五六个人的口供能对的上，或者门口监控有拍到都行', '回复@hellhell:那就不是在前台结账了，而是直接给技师', '回复@立志不劳而获的猫:给小费不可以嘛，觉得洗脚洗的舒服', '回复@kgunk:别狡辩了   你吃饭超过六百也算pc', '@郑威威威威威 一次性不能花销超过600元，要不会被警察叫去问话！', '回复@Jacket--Li:支付宝599，微信599', '', '回复@生命因你而火热啊:就会整天欺负社会底层的劳苦大众', '回复@mianruan:洗个脚一小时不到150，600你得洗4个小时', '回复@禹锅锅_97:五六个人一起去，一个人付账，有问题？', '咕咕嘎嘎咕咕嘎，太好笑了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '破坏了多少家庭呀', '要降价了，开心🥳，以后登顶599', '回复@麵玺:我朋友想知道在哪兒', '要降价了，开心🥳']",:【江苏宜兴警方调查涉黄浴室】网友爆料称，江苏宜兴警方调查涉黄浴室二维码转账记录，付款超过600元者都涉嫌嫖娼需到派出所报道，已抓获1200余名嫖客。为此，宜兴警方回应称传唤这些人只是说明情况，配合调查，是否嫖娼会根据证据进行认定。 ,28,1252,156
8,67,1,2742655797,  其他,2019-08-29 10:28:28,https://weibo.cn/comment/I4r1barw9,['中'],['no comment accessible'],:局座退休后移民美国，骂了一辈子，把所有小孩否送出去，嘴巴很硬，说话为赚钱，身体很诚实！从今以后，你听不到他怼了！ ,0,1,0
9,88,2,1916653805,  浙江,2019-08-29 02:04:46,https://weibo.cn/comment/I4nIJ7zvo,['中'],['no comment accessible'],:昨天和室友打电话，我感慨了一句，你家的财力在中产阶级里也就到头了，再要跨越阶级就要创业之类的啦。结果今天杭州地铁挖塌了她们老家…………直接5倍赔偿了,3,9,7
