,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,29,2,6597652719,  北京,2019-08-05 16:31:57,https://weibo.cn/comment/I0P8NsEWv,['中'],['no comment accessible'],no access,no access,no access,no access
1,30,1,2077946951,  北京,2019-08-05 08:40:18,https://weibo.cn/comment/I0M3mbaCN,['中'],['no comment accessible'],no access,no access,no access,no access
2,19,2,3365355414,  陕西,None,nn,['正常'],['deleted'],deleted,deleted,deleted,deleted
3,16,1,5711070913,  海外,2019-08-06 11:34:01,https://weibo.cn/comment/I0WCmuLYo,['中'],['no comment accessible'],no access,no access,no access,no access
4,31,1,3365355414,  陕西,2019-08-06 13:30:27,https://weibo.cn/comment/I0XnCBZx3,['正常'],['no comment accessible'],no access,no access,no access,no access
5,188,1,6078562289,  湖北,2019-08-05 19:36:02,https://weibo.cn/comment/I0Qlweb3X,['中'],['no comment accessible'],no access,no access,no access,no access
6,22,1,2811592551,  黑龙江,2019-08-06 15:21:33,https://weibo.cn/comment/I0Y6Iz6bQ,['中'],['no comment accessible'],no access,no access,no access,no access
7,22,1,6589325642,  天津,2019-08-05 14:01:37,https://weibo.cn/comment/I0O9MlxBp,['中'],['no comment accessible'],no access,no access,no access,no access
8,10,1,1724256551,  山东,2019-08-06 00:41:48,https://weibo.cn/comment/I0SlD9oJK,['中'],['no comment accessible'],no access,no access,no access,no access
9,1352,226,7199046746,  四川,2019-07-30 16:18:44,https://weibo.cn/comment/HFRWMgkVc,['中'],['no comment accessible'],no access,no access,no access,no access
10,102,1,3816737087,  北京,2019-07-28 16:49:57,https://weibo.cn/comment/HFzisifdc,['中'],['no comment accessible'],no access,no access,no access,no access
11,302,1,3943342495,  河北,2019-08-09 16:32:11,https://weibo.cn/comment/I1qQT8rw0,['中'],['no comment accessible'],no access,no access,no access,no access
12,9,1,5763584477,  安徽,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
13,80,4,6160433242,  其他,2019-08-09 12:48:42,https://weibo.cn/comment/I1poaFUrK,['中'],['no comment accessible'],no access,no access,no access,no access
14,178,17,6424626846,  河南,2019-08-08 11:25:28,https://weibo.cn/comment/I1fpT7tiW,['中'],['no comment accessible'],no access,no access,no access,no access
15,37,3,5384771805,  海外,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
16,221,5,1623404035,  海外,2019-08-09 21:38:03,https://weibo.cn/comment/I1sR2lp3A,['中'],['no comment accessible'],no access,no access,no access,no access
17,36,1,2975378897,  海外 美国,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
18,146,72,2396658275,  山东,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
19,89,1,3201509481,  北京,2019-08-10 11:35:07,https://weibo.cn/comment/I1ykNqQvA,['中'],['no comment accessible'],no access,no access,no access,no access
