,view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit,comments,weibo_content,repost_num,thumbs_up,comment_num
0,54,1,5724117454,  上海,2019-07-14 09:31:18,https://weibo.cn/comment/HDorsBntu,['正常'],['no comment accessible'],no access,no access,no access,no access
1,31,1,5108196917,  北京,2019-07-13 16:31:21,https://weibo.cn/comment/HDhLsmhog,['正常'],['no comment accessible'],no access,no access,no access,no access
2,1882,7,5833359023,  广东,2019-07-01 08:13:23,https://weibo.cn/comment/HBpnnf3eg,['正常'],['no comment accessible'],no access,no access,no access,no access
3,30,1,5666199953,  河北,2019-07-11 15:54:41,https://weibo.cn/comment/HCYFA7YZy,['中'],['no comment accessible'],no access,no access,no access,no access
4,32,1,6192051275,  湖北,2019-07-10 19:06:54,https://weibo.cn/comment/HCQv6twUH,['中'],['no comment accessible'],no access,no access,no access,no access
5,27,1,5181115848,  陕西,2019-07-10 17:52:11,https://weibo.cn/comment/HCQ0MfwZU,['中'],['no comment accessible'],no access,no access,no access,no access
6,80,1,1789086625,  其他,2019-07-08 19:51:17,https://weibo.cn/comment/HCxW8lGgs,['中'],['no comment accessible'],no access,no access,no access,no access
7,43,1,2257294753,  海外,2019-07-14 08:55:16,https://weibo.cn/comment/HDocPpM8A,['中'],['no comment accessible'],no access,no access,no access,no access
8,28,2,5898199949,  北京,2019-07-13 10:47:53,https://weibo.cn/comment/HDfw2BJ6A,['中'],['no comment accessible'],no access,no access,no access,no access
9,38,4,1262340243,  河北,2019-07-08 20:18:45,https://weibo.cn/comment/HCy7huRYE,['中'],['no comment accessible'],no access,no access,no access,no access
10,37,4,6220875340,  澳门,2019-06-23 21:28:08,https://weibo.cn/comment/HAha01KKt,['中'],['no comment accessible'],no access,no access,no access,no access
11,52,1,1779990993,  河南,2019-07-10 13:08:24,https://weibo.cn/comment/HCO9AvAX9,['中'],['no comment accessible'],no access,no access,no access,no access
12,464,65,5140492478,  河南,2019-07-12 06:56:13,https://weibo.cn/comment/HD4zw1krB,['正常'],['no comment accessible'],no access,no access,no access,no access
13,71,37,2100720873,  香港,2019-07-05 14:41:02,https://weibo.cn/comment/HC3CI38Ph,['正常'],['no comment accessible'],no access,no access,no access,no access
14,323,8,2732977075,  海外,2019-07-14 18:00:48,https://weibo.cn/comment/HDrMgfHSF,['正常'],['no comment accessible'],no access,no access,no access,no access
15,56,44,5881123708,  浙江 杭州,None,nn,['正常'],['deleted'],deleted,deleted,deleted,deleted
16,65,1,3958048628,  江苏,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
17,167,3,5212268104,  海外,2019-07-15 08:03:54,https://weibo.cn/comment/HDxitsTJb,['中'],['no comment accessible'],no access,no access,no access,no access
18,46,2,3598836430,  其他,None,nn,['中'],['deleted'],deleted,deleted,deleted,deleted
19,42,1,3928105745,  北京,2019-07-14 19:31:08,https://weibo.cn/comment/HDsmVvoA4,['正常'],['no comment accessible'],no access,no access,no access,no access
