view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit
48,2,6799989017,  辽宁,2019-04-17 16:56:44,https://weibo.cn/comment/Hq3KyzdxC,['中']
40,1,6295001722,  辽宁,2019-04-17 15:44:36,https://weibo.cn/comment/Hq3hhqH8b,['正常']
34,1,5647427155,  辽宁,2019-04-17 15:43:32,https://weibo.cn/comment/Hq3gQvNlu,['正常']
40,3,6188767826,  吉林,2019-04-17 16:22:40,https://weibo.cn/comment/Hq3wJnaHs,['中']
40,2,1926390165,  台湾 台北市,2019-04-17 16:13:32,https://weibo.cn/comment/Hq3t1wmWR,['正常']
68,2,5680023541,  其他,2019-04-17 16:06:48,https://weibo.cn/comment/Hq3qi9Qlv,['正常']
46,1,6941286742,  辽宁 沈阳,None,nn,['正常']
35,1,1724788580,  海外 其他,2019-04-17 16:15:24,https://weibo.cn/comment/Hq3tMvdRM,['正常']
54,1,6206606193,  吉林,2019-04-17 16:58:57,https://weibo.cn/comment/Hq3Lt4rOE,['正常']
37,1,2474416287,  海外,2019-04-17 15:46:20,https://weibo.cn/comment/Hq3hZaHJF,['正常']
42,8,1136941352,  辽宁 沈阳,2019-04-17 16:06:30,https://weibo.cn/comment/Hq3qb6qsY,['正常']
41,3,2553493045,  辽宁 沈阳,2019-04-17 15:56:46,https://weibo.cn/comment/Hq3mdwBWN,['正常']
39,2,6571498487,  其他,2019-04-17 16:40:38,https://weibo.cn/comment/Hq3E1tzLU,['中']
129,1,2286641411,  辽宁 沈阳,2019-04-17 16:35:48,https://weibo.cn/comment/Hq3C4l9pn,['中']
68,10,2286641411,  辽宁 沈阳,2019-04-17 16:34:14,https://weibo.cn/comment/Hq3Bqtzl0,['中']
37,1,2921702345,  辽宁 沈阳,2019-04-17 20:19:14,https://weibo.cn/comment/Hq54KEi2f,['中']
37,2,2286641411,  辽宁 沈阳,2019-04-17 16:35:09,https://weibo.cn/comment/Hq3BNtWBo,['中']
49,1,6190357498,  辽宁,2019-04-17 16:00:57,https://weibo.cn/comment/Hq3nV2bPt,['中']
42,2,6856306471,  北京,2019-04-17 17:43:44,https://weibo.cn/comment/Hq43Dq7MA,['中']
47,2,6991608096,  辽宁,2019-04-17 16:58:24,https://weibo.cn/comment/Hq3LeAG70,['中']
